newsgroup,message_id_hash,replacement_char_count,nb_body_length,matched_similarity,shuffled_similarity
no.alkohol,b4c1b88377a7f263,7,982,0.9850963761918681,0.09894461741603745
no.alkohol,b72118300388760a,1,197,0.9961010882850863,0.21996251042720405
no.alkohol,c5591fef43bf6f09,19,1156,0.9830430475763269,0.20538203732293464
no.alkohol,c9497d95ff7a9c25,4,381,0.9858923080995089,0.019291744899526828
no.alkohol,d270f7210bab5326,6,245,0.8988035826698194,0.29126648253926296
no.alkohol,d33da3651979bff3,106,5451,0.9827412899587804,0.33946599985305925
no.alkohol,dcd790c0a6e8250e,44,1851,0.9768570865376515,0.536202892048376
no.alkohol,e55a3de187ec080b,25,1362,0.972988880692655,0.10279269943276789
no.alkohol,eab9573d040e4a62,8,329,0.9004078962250631,0.26867523698497675
no.alkohol,f581f8882f24787d,11,617,0.9728948470275723,0.3270641545425162
no.alkohol,f61dafa829e88a1b,58,2768,0.9814223804077303,0.26560809535373625
no.alkohol,fba38c6344c44649,33,1766,0.9871096171823616,0.24684139615046272
no.alkohol,feadd56f42a7d14f,100,4204,0.9741153767329651,0.10275198796091058
no.alt.arkiv,01c17873effff80e,2,847,0.9870662099362639,0.31758786596688043
no.alt.arkiv,055ba2fd464b7fa0,2,1598,0.9864482393148656,0.45446055346337916
no.alt.arkiv,070d8fb774833ba1,2,342,0.9835638140132155,0.26670489099878464
no.alt.arkiv,0d0da0a5ae5b45ed,2,1622,0.9877309578060973,0.16960374751500176
no.alt.arkiv,114b43edd2aa8875,2,358,0.9838310193752081,0.37896322198453397
no.alt.arkiv,1fe46df69b9abac3,2,330,0.9826473564313745,0.30443023281426457
no.alt.arkiv,2008dd61341220e2,2,785,0.9850335265858019,0.3978388626163221
no.alt.arkiv,215f9e4a41794caa,2,422,0.9852164492399401,0.32259368254714726
no.alt.arkiv,2ba19e287ed17987,2,241,0.9815157205828022,0.26756951729586564
no.alt.arkiv,2f1fdef220af92b4,2,762,0.9853574183031553,0.1229748106059553
no.alt.arkiv,3d7cab9f6b52056b,2,2377,0.9861307703953973,0.2015943729392258
no.alt.arkiv,4702ebda26fce729,2,623,0.9840381621936902,0.08953838917044013
no.alt.arkiv,5aa5bc282199e860,2,270,0.9807585744702518,0.3133488835322495
no.alt.arkiv,62243475c12ddce0,2,1438,0.9859761767243419,0.35312680296798954
no.alt.arkiv,6549bd910f6ff6e3,2,471,0.9857416713906255,0.38134021186429473
no.alt.arkiv,66b797d360fdb4b8,2,326,0.980502168381862,0.1906021473408296
no.alt.arkiv,6bbfefd74c05ffac,2,598,0.9839714244915787,0.1356070390384449
no.alt.arkiv,761c8e11509f29e9,2,330,0.9807367521130224,0.3897454455405285
no.alt.arkiv,77269b6ac5c9b6f6,2,2475,0.9890857959324719,0.27813855630869216
no.alt.arkiv,7acd7e696ffedeff,2,325,0.9839544906186865,0.2409611938957788
no.alt.arkiv,82b2527f869f49c7,1,1382,0.9913681996478114,0.14769451075494672
no.alt.arkiv,8b19a05a61bd4296,2,756,0.984807495940506,0.20309598382345972
no.alt.arkiv,8eae22d5ce6f2c78,2,1051,0.9869434135953296,0.43497510878899076
no.alt.arkiv,9aa38a287cc01923,2,1503,0.9882506977117748,0.3567697127393265
no.alt.arkiv,a367eddf619db795,2,1303,0.9868016503464128,0.3720610965716122
no.alt.arkiv,a40d3cbee0e9308a,2,811,0.9861136761912489,0.6836323258283382
no.alt.arkiv,a83ae8d519fe4276,2,465,0.9819795194102523,0.32341807263143935
no.alt.arkiv,ad4e9ced9b3051ca,2,1281,0.986826922484969,0.2157191889164869
