newsgroup_a,newsgroup_b,users_a,users_b,shared_users,jaccard
no.alt.config,no.news.drift,327,314,67,0.11672473867595819
no.mail.diverse,no.unix,900,1069,205,0.11621315192743764
no.alt.diskusjoner,no.alt.mat,2182,1172,349,0.11613976705490849
no.litteratur,no.mail.diverse,1408,900,240,0.11605415860735009
no.alt.config,no.ef,327,510,87,0.116
no.perl,no.unix,385,1069,151,0.11588641596316193
no.kryptografi,no.lisp,212,203,43,0.11559139784946236
no.linux,no.net,2858,1071,407,0.11555934128336173
no.general,no.linux,5597,2858,875,0.11543535620052771
no.embnet,no.irc,218,1348,162,0.11538461538461539
no.c,no.jus,940,1720,275,0.11530398322851153
no.ef,no.news.drift,510,314,85,0.11502029769959404
no.mail.drift,no.nuug,373,83,47,0.11491442542787286
no.norsk.fagord,no.vit.diverse,105,196,31,0.11481481481481481
no.havforskning,no.mail.diverse,344,900,128,0.11469534050179211
no.alt.diskusjoner,no.vitser,2182,3340,567,0.11442986881937436
no.sources.wanted,no.standard,126,69,20,0.11428571428571428
no.alt.tegneserier,no.c,906,940,189,0.11406155703077851
no.alkohol,no.prat.narkotika,1064,315,141,0.11389337641357028
no.havforskning,no.irc,344,1348,173,0.11389071757735353
no.marked,no.musikk,8022,3425,1169,0.11373808133878187
no.alt.frustrasjoner,no.musikk,3039,3425,660,0.11371467953135768
no.alt.tegneserier,no.film,906,2416,339,0.11364398256788467
no.kryptografi,no.org.efn.diskusjon,212,357,58,0.11350293542074363
no.uninett.diverse,no.vr,149,97,25,0.11312217194570136
no.tungregning,no.uninett.drift,51,68,12,0.11214953271028037
no.alt.diskusjoner,no.net,2182,1071,328,0.11213675213675214
no.alt.frustrasjoner,no.linux,3039,2858,594,0.11201206864039223
no.jus,no.mail.drift,1720,373,210,0.11152416356877323
no.alt.diskusjoner,no.film,2182,2416,459,0.11089635177579125
no.org.efn.diskusjon,no.tegnsett,357,184,54,0.11088295687885011
no.linux,no.mail.diverse,2858,900,375,0.11084835944428023
no.c,no.mail.drift,940,373,131,0.11082910321489002
no.linux,no.pc,2858,5333,817,0.11079468402495253
no.linux,no.news.diverse,2858,1726,456,0.11046511627906977
no.jus,no.multimedia,1720,1241,294,0.11023622047244094
no.it.emacs,no.unix,281,1069,134,0.11019736842105263
no.tegnsett,no.uninett.drift,184,68,25,0.11013215859030837
no.it.emacs,no.lisp,281,203,48,0.11009174311926606
no.biz.nettilbydere,no.www,258,560,81,0.10990502035278155
no.alt.god.jul,no.alt.tegneserier,459,906,135,0.10975609756097561
no.it.diverse,no.www,260,560,81,0.10960757780784844
no.eunet.diverse,no.eunet.hjelp,100,225,32,0.10921501706484642
no.bil,no.elektronikk,1461,1510,292,0.10899589399029488
no.audio,no.film,2277,2416,461,0.10893194706994329
no.c,no.linux,940,2858,373,0.10890510948905109
no.biz.annonser,no.marked.data,1415,6029,730,0.1087280309800417
no.audio,no.musikk,2277,3425,558,0.10847589424572317
no.alt.pompelog,no.eunet.hjelp,143,225,36,0.10843373493975904
no.sources.list,no.tegnsett,31,184,21,0.10824742268041238
no.alt.config,no.alt.katter,327,535,84,0.10796915167095116
no.alt.katter,no.alt.mat.drikke,535,420,93,0.10788863109048724
no.alkohol,no.alt.gledesutbrudd,1064,1620,261,0.10771770532397854
no.alkohol,no.alt.config,1064,327,135,0.10748407643312102
no.nuug,no.tungregning,83,51,13,0.10743801652892562
no.lisp,no.x,203,220,41,0.10732984293193717
no.alt.tegneserier,no.havforskning,906,344,121,0.10717449069973428
no.sources.wanted,no.tegnsett,126,184,30,0.10714285714285714
no.news.drift,no.telepost,314,403,69,0.10648148148148148
no.alt.frustrasjoner,no.alt.mat,3039,1172,405,0.10641093011035208
no.jus,no.linux,1720,2858,440,0.10633156114064765
no.ef,no.multimedia,510,1241,168,0.10612760581174985
no.net,no.norsk,1071,1808,276,0.1060315021129466
no.alkohol,no.alt.frustrasjoner,1064,3039,393,0.10592991913746631
no.embnet,no.mail.diverse,218,900,107,0.10583580613254204
no.unix,no.x,1069,220,123,0.10548885077186965
no.tegnsett,no.telepost,184,403,56,0.10546139359698682
no.news.diverse,no.tele,1726,1538,311,0.10531662715882154
no.mac,no.multimedia,2597,1241,365,0.1050964583933199
no.alt.gledesutbrudd,no.film,1620,2416,383,0.10484533260333972
no.jus,no.org.efn.diskusjon,1720,357,197,0.10478723404255319
no.alt.pompel-og-pilt,no.kjemi,202,663,82,0.10472541507024266
no.alt.pompelog,no.eunet.diverse,143,100,23,0.10454545454545454
no.ef,no.org.efn.diskusjon,510,357,82,0.10445859872611465
no.news.drift,no.psykologi,314,405,68,0.10445468509984639
no.org.efn.diskusjon,no.psykologi,357,405,72,0.10434782608695652
no.alt.diskusjoner,no.litteratur,2182,1408,338,0.1039360393603936
no.film,no.general,2416,5597,754,0.10387105661936906
no.it.emacs,no.x,281,220,47,0.10352422907488987
no.alt.diskusjoner,no.radio-tv,2182,1319,328,0.10337220296249607
no.alt.god.jul,no.kjemi,459,663,105,0.10324483775811209
no.film,no.jus,2416,1720,387,0.10322752734062417
no.alt.gledesutbrudd,no.vitser,1620,3340,464,0.10320284697508897
no.alt.diskusjoner,no.pc,2182,5333,701,0.10287643087760492
no.eunet.diverse,no.nuug,100,83,17,0.10240963855421686
no.news.drift,no.uninett.diverse,314,149,43,0.10238095238095238
no.skole.diverse,no.vit.diverse,224,196,39,0.10236220472440945
no.alt.frustrasjoner,no.net,3039,1071,380,0.10187667560321716
no.general,no.vitser,5597,3340,826,0.1018370114659105
