from_newsgroup,to_newsgroup,number_of_references,references_from_newsgroup,references_out_of_newsgroup
no.biz.annonser,no.kryptografi,8,746,501
no.biz.annonser,no.linux,8,746,501
no.biz.annonser.data,no.biz.diskusjoner,8,276,193
no.biz.diskusjoner,no.audio,8,147,96
no.biz.diskusjoner,no.bolig,8,147,96
no.biz.diskusjoner,no.elektronikk,8,147,96
no.bolig,no.biz.diskusjoner,8,357,63
no.bolig,no.film,8,357,63
no.bolig,no.irc,8,357,63
no.bolig,no.marked.jobb,8,357,63
no.bolig,no.musikk,8,357,63
no.c,no.alt.motorsykler,8,1412,303
no.c,no.alt.radio_tv.irma1000,8,1412,303
no.c,no.norsk,8,1412,303
no.c,no.slekt,8,1412,303
no.c,no.sport.diverse,8,1412,303
no.ef,no.alt.motorsykler,8,866,633
no.ef,no.alt.radio_tv.irma1000,8,866,633
no.ef,no.pc,8,866,633
no.elektronikk,no.biz.diskusjoner,8,1832,584
no.elektronikk,no.slekt,8,1832,584
no.embnet,no.alt.motorsykler,8,178,157
no.embnet,no.alt.radio_tv.irma1000,8,178,157
no.eunet.drift,no.news.drift,8,227,55
no.film,no.bolig,8,6949,1035
