from_newsgroup,to_newsgroup,number_of_references,references_from_newsgroup,references_out_of_newsgroup
no.film,no.spill,8,6949,1035
no.irc,no.biz.annonser,8,3970,1022
no.irc,no.bolig,8,3970,1022
no.it.diverse,no.alt.frustrasjoner,8,330,168
no.it.diverse,no.spill,8,330,168
no.kjemi,no.alt.motorsykler,8,830,350
no.kryptografi,no.biz.annonser,8,330,112
no.kryptografi,no.pc,8,330,112
no.linux,no.biz.annonser,8,8833,1209
no.linux,no.ms-windows,8,8833,1209
no.litteratur,no.alt.flame,8,2060,485
no.litteratur,no.marked.bil,8,2060,485
no.litteratur,no.marked.bolig,8,2060,485
no.mac,no.typografi,8,11681,1053
no.mail.diverse,no.it.emacs,8,1099,512
no.mail.diverse,no.marked.bil,8,1099,512
no.mail.diverse,no.marked.bolig,8,1099,512
no.mail.diverse,no.www,8,1099,512
no.mail.drift,no.marked.bil,8,307,207
no.mail.drift,no.marked.bolig,8,307,207
no.marked,no.alt.radio_tv.irma1000,8,4847,1840
no.marked,no.sykkel,8,4847,1840
no.marked.bil,no.lisp,8,204,61
no.marked.bolig,no.lisp,8,67,36
no.marked.bolig,no.musikk.gitar,8,67,36
no.marked.data,no.norsk,8,4910,1299
no.marked.data,no.nuug,8,4910,1299
no.marked.diskusjon,unknown,8,54,49
no.marked.jobb,no.it.diverse,8,766,318
no.media,no.mail.diverse,8,58,45
no.media,no.marked.data,8,58,45
no.medisin,no.norsk,8,880,278
no.medisin,no.stortinget,8,880,278
no.ms-windows,no.linux,8,4123,936
no.ms-windows,no.slekt,8,4123,936
no.multimedia,no.alt.gledesutbrudd,8,954,581
no.musikk,no.biz.annonser.data,8,15532,1497
no.musikk,no.bolig,8,15532,1497
no.musikk.gitar,no.marked.bolig,8,910,220
no.musikk.gitar,no.slekt,8,910,220
no.musikk.gitar,no.sources.list,8,910,220
no.musikk.gitar,no.sources.wanted,8,910,220
no.musikk.gitar,no.speider,8,910,220
no.musikk.gitar,no.spill,8,910,220
no.musikk.gitar,no.sport.diverse,8,910,220
no.musikk.gitar,no.tegnsett,8,910,220
no.musikk.gitar,no.telepost,8,910,220
no.net,no.alt.motorsykler,8,1110,523
no.net,no.student.nett,8,1110,523
no.news.diverse,no.eunet.hjelp,8,6024,2109
no.news.diverse,no.lisp,8,6024,2109
no.news.drift,no.eunet.drift,8,345,185
no.norsk,no.alt.flame,8,11325,2296
no.norsk,no.marked.data,8,11325,2296
no.org.efn.diskusjon,no.eunet.drift,8,869,491
no.org.efn.diskusjon,no.havforskning,8,869,491
no.pc,no.alt.god.jul,8,12883,2791
no.pc,no.alt.pompelog,8,12883,2791
no.pc,no.eunet.hjelp,8,12883,2791
no.psykologi,no.irc,8,1209,553
no.psykologi,no.standard,8,1209,553
no.psykologi,no.tungregning,8,1209,553
no.radio_tv,no.havforskning,8,909,244
no.radio_tv,no.jus,8,909,244
no.radio_tv,no.kjemi,8,909,244
no.radio_tv,no.litteratur,8,909,244
no.radio_tv,no.mail.diverse,8,909,244
no.radio_tv,no.mail.drift,8,909,244
no.radio_tv,no.news.drift,8,909,244
no.radio_tv,no.nuug,8,909,244
no.radio_tv,no.psykologi,8,909,244
no.reiser,no.sport.diverse,8,746,84
no.slekt,no.audio,8,2669,367
no.slekt,no.c,8,2669,367
no.sources.list,no.standard,8,12,12
no.sources.list,no.stortinget,8,12,12
no.sources.list,no.tungregning,8,12,12
no.sources.wanted,no.standard,8,53,26
no.sources.wanted,no.tungregning,8,53,26
no.speider,no.irc,8,749,86
no.speider,no.standard,8,749,86
no.speider,no.tungregning,8,749,86
no.spill,no.alt.god.jul,8,5773,631
no.spill,no.alt.motorsykler,8,5773,631
