from_newsgroup,to_newsgroup,number_of_references,references_from_newsgroup,references_out_of_newsgroup
no.litteratur,no.multimedia,1038,29283,20463
no.embnet,no.ef,1036,17286,16200
no.kjemi,no.mail.diverse,1036,25136,21500
no.kjemi,no.mail.drift,1036,25136,21500
no.mail.drift,no.linux,1036,20201,18601
no.alt.frustrasjoner,no.sykkel,1035,142818,41663
no.general,no.alt.tegneserier,1035,572652,195646
no.mail.drift,no.litteratur,1033,20201,18601
no.mail.diverse,no.mac,1031,26660,21940
no.alt.frustrasjoner,no.vitser,1028,142818,41663
no.linux,unknown,1028,55051,23868
no.ef,no.embnet,1023,29077,23384
no.general,no.embnet,1022,572652,195646
no.mail.drift,no.multimedia,1022,20201,18601
no.c,no.embnet,1021,23413,17227
no.stortinget,unknown,1017,30197,14787
no.mail.diverse,no.litteratur,1015,26660,21940
no.litteratur,no.marked,1014,29283,20463
no.multimedia,no.linux,1013,31206,26667
no.linux,no.litteratur,1011,55051,23868
no.mail.diverse,no.multimedia,1010,26660,21940
no.multimedia,no.litteratur,1007,31206,26667
no.linux,no.kjemi,1005,55051,23868
no.linux,no.mail.drift,1002,55051,23868
no.litteratur,no.mac,1001,29283,20463
no.litteratur,no.linux,999,29283,20463
no.elektronikk,no.bil,995,24612,17793
no.kjemi,no.linux,995,25136,21500
no.litteratur,no.mail.diverse,991,29283,20463
no.litteratur,no.mail.drift,991,29283,20463
no.kjemi,no.mac,986,25136,21500
no.pc,no.linux,985,72503,28078
no.musikk.gitar,no.musikk,983,15536,12739
no.musikk,no.multimedia,980,140052,23221
no.pc,no.elektronikk,979,72503,28078
no.radio-tv,no.general,979,15586,5574
no.irc,unknown,974,53520,29112
no.alt.diskusjoner,no.prat.politikk,972,168368,81207
no.kjemi,no.multimedia,970,25136,21500
no.general,no.marked.jobb,967,572652,195646
no.multimedia,no.alt.diskusjoner,965,31206,26667
no.multimedia,no.marked.jobb,963,31206,26667
no.pc,no.vitser,963,72503,28078
no.news.diverse,no.alt.frustrasjoner,962,62629,27354
no.multimedia,no.musikk,959,31206,26667
no.mac,no.pc,958,71238,24654
no.multimedia,no.mail.diverse,958,31206,26667
no.pc,no.spill,957,72503,28078
no.marked.jobb,no.multimedia,954,20015,16808
no.film,no.general,953,51355,19630
no.marked,no.biz.annonser,952,50284,36323
no.spill,no.pc,952,30675,6456
no.alt.frustrasjoner,no.news.diverse,951,142818,41663
no.embnet,no.havforskning,950,17286,16200
no.general,no.linux,950,572652,195646
