from_newsgroup,to_newsgroup,number_of_references,references_from_newsgroup,references_out_of_newsgroup
no.mail.diverse,no.tungregning,26,26660,21940
no.mail.drift,no.tungregning,26,20201,18601
no.marked,no.alt.radio_tv.irma1000,26,50284,36323
no.marked,no.tungregning,26,50284,36323
no.marked,no.uninett.skole,26,50284,36323
no.marked.data,no.media,26,33874,20913
no.marked.diskusjon,no.media,26,884,728
no.marked.diskusjon,no.net,26,884,728
no.marked.diskusjon,no.norsk,26,884,728
no.marked.diskusjon,no.nuug,26,884,728
no.marked.diskusjon,no.pc,26,884,728
no.marked.jobb,no.biz.annonser,26,20015,16808
no.media,no.mac,26,862,728
no.multimedia,no.alt.gledesutbrudd,26,31206,26667
no.multimedia,no.tungregning,26,31206,26667
no.musikk.klassisk,no.alt.frustrasjoner,26,859,269
no.net,no.tungregning,26,23765,19184
no.news.drift,no.tungregning,26,6403,5345
no.norsk,no.tungregning,26,107590,28991
no.reiser,no.spill,26,2299,410
no.speider,no.irc,26,4784,1847
no.speider,no.reiser,26,4784,1847
no.spill,no.reiser,26,30675,6456
no.sport.diverse,no.sport.fotball,26,15689,4266
no.sport.diverse,no.vitser,26,15689,4266
no.stortinget,no.standard,26,30197,14787
no.stortinget,no.tungregning,26,30197,14787
no.tegnsett,no.alt.gledesutbrudd,26,2870,1883
no.tegnsett,no.musikk.gitar,26,2870,1883
no.tegnsett,no.tungregning,26,2870,1883
no.alt.katter,no.alt.tegneserier,25,5789,2679
no.alt.mat.drikke,no.alt.tegneserier,25,3508,2315
no.alt.mat.drikke,no.c,25,3508,2315
no.alt.motorsykler,no.standard,25,272638,18101
no.alt.tegneserier,no.alt.katter,25,18956,14973
no.alt.tegneserier,no.alt.mat.drikke,25,18956,14973
no.alt.tegneserier,no.biz.annonser,25,18956,14973
no.bolig,no.kjemi,25,1856,1068
no.bolig,no.linux,25,1856,1068
no.bolig,no.lisp,25,1856,1068
no.bolig,no.litteratur,25,1856,1068
no.bolig,no.marked.jobb,25,1856,1068
no.elektronikk,no.marked.bil,25,24612,17793
no.eunet.drift,no.news.drift,25,2743,2106
no.kjemi,no.alt.motorsykler,25,25136,21500
no.mail.drift,no.marked.bil,25,20201,18601
no.mail.drift,no.marked.bolig,25,20201,18601
no.marked.bil,no.linux,25,1434,1075
no.marked.bolig,no.linux,25,1234,1102
no.marked.data,no.biz.diskusjoner,25,33874,20913
no.marked.data,no.norsk,25,33874,20913
no.marked.data,no.nuug,25,33874,20913
no.marked.diskusjon,no.litteratur,25,884,728
no.marked.diskusjon,no.mac,25,884,728
no.marked.diskusjon,no.mail.diverse,25,884,728
no.marked.diskusjon,no.mail.drift,25,884,728
no.marked.diskusjon,no.medisin,25,884,728
no.marked.diskusjon,no.multimedia,25,884,728
no.marked.diskusjon,no.norsk.fagord,25,884,728
no.media,no.marked.data,25,862,728
no.media,no.musikk,25,862,728
no.ms-windows,no.alt.frustrasjoner,25,21902,9781
no.musikk.gitar,no.slekt,25,15536,12739
no.musikk.gitar,no.sources.list,25,15536,12739
no.musikk.gitar,no.sources.wanted,25,15536,12739
no.musikk.gitar,no.speider,25,15536,12739
no.musikk.gitar,no.spill,25,15536,12739
no.musikk.gitar,no.sport.diverse,25,15536,12739
no.musikk.gitar,no.tegnsett,25,15536,12739
no.musikk.gitar,no.telepost,25,15536,12739
no.net,no.alt.motorsykler,25,23765,19184
no.news.drift,no.eunet.drift,25,6403,5345
no.norsk,no.marked.data,25,107590,28991
no.radio_tv,no.havforskning,25,6092,3057
no.radio_tv,no.jus,25,6092,3057
no.radio_tv,no.kjemi,25,6092,3057
no.radio_tv,no.litteratur,25,6092,3057
no.radio_tv,no.mail.diverse,25,6092,3057
no.radio_tv,no.mail.drift,25,6092,3057
no.radio_tv,no.news.drift,25,6092,3057
no.radio_tv,no.nuug,25,6092,3057
no.radio_tv,no.psykologi,25,6092,3057
no.slekt,no.audio,25,8720,2814
no.slekt,no.c,25,8720,2814
no.sport.diverse,no.alt.god.jul,25,15689,4266
no.sport.diverse,no.audio,25,15689,4266
no.sport.diverse,no.c,25,15689,4266
no.sport.diverse,no.irc,25,15689,4266
no.student.nett,unknown,25,947,527
no.sykkel,no.general,25,9200,1677
no.uninett.diverse,unknown,25,1453,1230
no.alt.diskusjoner,no.film,24,168368,81207
no.alt.gledesutbrudd,no.standard,24,34672,9680
no.alt.god.jul,no.standard,24,14888,13251
no.alt.irctreff,no.irc,24,1352,116
no.alt.katter,no.audio,24,5789,2679
no.alt.katter,no.bil,24,5789,2679
no.alt.katter,no.biz.diskusjoner,24,5789,2679
no.alt.katter,no.bolig,24,5789,2679
no.alt.katter,no.c,24,5789,2679
no.alt.katter,no.ef,24,5789,2679
no.alt.katter,no.elektronikk,24,5789,2679
no.alt.katter,no.embnet,24,5789,2679
no.alt.mat,no.irc,24,13614,6912
no.alt.mat,no.standard,24,13614,6912
no.alt.mat.drikke,no.audio,24,3508,2315
no.alt.mat.drikke,no.bil,24,3508,2315
no.alt.mat.drikke,no.biz.diskusjoner,24,3508,2315
no.alt.mat.drikke,no.bolig,24,3508,2315
no.alt.mat.drikke,no.ef,24,3508,2315
no.alt.mat.drikke,no.elektronikk,24,3508,2315
no.alt.mat.drikke,no.embnet,24,3508,2315
no.alt.radio_tv.irma1000,no.film,24,3234,2591
no.alt.radio_tv.irma1000,no.irc,24,3234,2591
no.alt.radio_tv.irma1000,no.standard,24,3234,2591
no.alt.tegneserier,no.biz.diskusjoner,24,18956,14973
no.alt.tegneserier,no.bolig,24,18956,14973
no.alt.tegneserier,no.standard,24,18956,14973
no.audio,no.biz.diskusjoner,24,47065,21499
no.audio,no.kryptografi,24,47065,21499
no.audio,no.standard,24,47065,21499
no.bil,no.kryptografi,24,31226,13872
no.biz.annonser,no.irc,24,6978,4924
no.biz.annonser,no.kryptografi,24,6978,4924
no.biz.annonser,no.linux,24,6978,4924
no.biz.annonser,no.ms-windows,24,6978,4924
no.biz.diskusjoner,no.audio,24,1933,1624
no.biz.diskusjoner,no.bolig,24,1933,1624
no.biz.diskusjoner,no.elektronikk,24,1933,1624
no.biz.diskusjoner,no.ms-windows,24,1933,1624
no.bolig,no.biz.diskusjoner,24,1856,1068
no.bolig,no.kryptografi,24,1856,1068
no.bolig,no.mac,24,1856,1068
no.bolig,no.marked.data,24,1856,1068
no.c,no.kryptografi,24,23413,17227
no.elektronikk,no.biz.diskusjoner,24,24612,17793
no.elektronikk,no.kryptografi,24,24612,17793
no.embnet,no.kryptografi,24,17286,16200
no.eunet.diverse,no.alt.god.jul,24,3074,2762
no.eunet.diverse,no.alt.motorsykler,24,3074,2762
no.eunet.diverse,no.alt.radio_tv.irma1000,24,3074,2762
no.eunet.diverse,no.kjemi,24,3074,2762
no.eunet.diverse,no.linux,24,3074,2762
no.eunet.diverse,no.litteratur,24,3074,2762
no.eunet.diverse,no.mac,24,3074,2762
no.eunet.diverse,no.mail.diverse,24,3074,2762
no.eunet.diverse,no.mail.drift,24,3074,2762
no.eunet.diverse,no.marked,24,3074,2762
no.eunet.diverse,no.multimedia,24,3074,2762
no.eunet.diverse,no.net,24,3074,2762
no.eunet.diverse,no.news.drift,24,3074,2762
no.eunet.diverse,no.norsk,24,3074,2762
no.eunet.diverse,no.nuug,24,3074,2762
no.eunet.diverse,no.org.efn.diskusjon,24,3074,2762
no.eunet.diverse,no.pc,24,3074,2762
no.eunet.diverse,no.psykologi,24,3074,2762
no.eunet.diverse,no.radio_tv,24,3074,2762
no.eunet.diverse,no.slekt,24,3074,2762
no.eunet.diverse,no.sources.list,24,3074,2762
no.eunet.diverse,no.sources.wanted,24,3074,2762
no.eunet.diverse,no.speider,24,3074,2762
no.eunet.diverse,no.spill,24,3074,2762
no.eunet.diverse,no.sport.diverse,24,3074,2762
no.eunet.diverse,no.stortinget,24,3074,2762
no.eunet.diverse,no.tegnsett,24,3074,2762
no.eunet.diverse,no.telepost,24,3074,2762
no.eunet.drift,no.alt.god.jul,24,2743,2106
no.eunet.drift,no.alt.motorsykler,24,2743,2106
no.eunet.drift,no.alt.radio_tv.irma1000,24,2743,2106
no.eunet.drift,no.kjemi,24,2743,2106
no.eunet.drift,no.linux,24,2743,2106
no.eunet.drift,no.litteratur,24,2743,2106
no.eunet.drift,no.mac,24,2743,2106
no.eunet.drift,no.mail.diverse,24,2743,2106
no.eunet.drift,no.mail.drift,24,2743,2106
no.eunet.drift,no.marked,24,2743,2106
no.eunet.drift,no.multimedia,24,2743,2106
no.eunet.drift,no.net,24,2743,2106
no.eunet.drift,no.norsk,24,2743,2106
no.eunet.drift,no.nuug,24,2743,2106
no.eunet.drift,no.org.efn.diskusjon,24,2743,2106
no.eunet.drift,no.psykologi,24,2743,2106
no.eunet.drift,no.radio_tv,24,2743,2106
no.eunet.drift,no.slekt,24,2743,2106
no.eunet.drift,no.sources.list,24,2743,2106
no.eunet.drift,no.sources.wanted,24,2743,2106
no.eunet.drift,no.speider,24,2743,2106
no.eunet.drift,no.spill,24,2743,2106
no.eunet.drift,no.sport.diverse,24,2743,2106
no.eunet.drift,no.stortinget,24,2743,2106
no.eunet.drift,no.tegnsett,24,2743,2106
no.eunet.hjelp,no.alt.god.jul,24,3090,2350
no.eunet.hjelp,no.alt.motorsykler,24,3090,2350
no.eunet.hjelp,no.alt.radio_tv.irma1000,24,3090,2350
no.eunet.hjelp,no.audio,24,3090,2350
no.eunet.hjelp,no.kjemi,24,3090,2350
no.eunet.hjelp,no.linux,24,3090,2350
no.eunet.hjelp,no.litteratur,24,3090,2350
no.eunet.hjelp,no.mac,24,3090,2350
no.eunet.hjelp,no.mail.diverse,24,3090,2350
no.eunet.hjelp,no.mail.drift,24,3090,2350
no.eunet.hjelp,no.marked,24,3090,2350
no.eunet.hjelp,no.multimedia,24,3090,2350
no.eunet.hjelp,no.norsk,24,3090,2350
no.eunet.hjelp,no.nuug,24,3090,2350
no.eunet.hjelp,no.org.efn.diskusjon,24,3090,2350
no.eunet.hjelp,no.pc,24,3090,2350
no.eunet.hjelp,no.psykologi,24,3090,2350
no.eunet.hjelp,no.radio_tv,24,3090,2350
no.eunet.hjelp,no.slekt,24,3090,2350
no.eunet.hjelp,no.sources.list,24,3090,2350
no.eunet.hjelp,no.sources.wanted,24,3090,2350
no.eunet.hjelp,no.speider,24,3090,2350
no.eunet.hjelp,no.spill,24,3090,2350
no.eunet.hjelp,no.sport.diverse,24,3090,2350
no.eunet.hjelp,no.stortinget,24,3090,2350
no.eunet.hjelp,no.tegnsett,24,3090,2350
no.eunet.hjelp,no.telepost,24,3090,2350
no.film,no.prat.seksualitet,24,51355,19630
no.general,no.marked.bil,24,572652,195646
no.general,no.marked.bolig,24,572652,195646
no.havforskning,no.alt.motorsykler,24,17004,15678
no.havforskning,no.alt.radio_tv.irma1000,24,17004,15678
no.havforskning,no.org.efn.diskusjon,24,17004,15678
no.havforskning,no.standard,24,17004,15678
no.jus,no.alt.radio_tv.irma1000,24,59888,34547
no.jus,no.standard,24,59888,34547
no.kjemi,no.alt.frustrasjoner,24,25136,21500
no.kjemi,no.alt.gledesutbrudd,24,25136,21500
no.kjemi,no.alt.pompelog,24,25136,21500
no.kjemi,no.alt.radio_tv.irma1000,24,25136,21500
no.kjemi,no.eunet.diverse,24,25136,21500
no.kjemi,no.eunet.drift,24,25136,21500
no.kjemi,no.eunet.hjelp,24,25136,21500
no.kjemi,no.standard,24,25136,21500
no.linux,no.alt.mat,24,55051,23868
no.linux,no.alt.motorsykler,24,55051,23868
no.linux,no.alt.radio_tv.irma1000,24,55051,23868
no.linux,no.eunet.diverse,24,55051,23868
no.linux,no.eunet.drift,24,55051,23868
no.linux,no.standard,24,55051,23868
no.linux,no.stortinget,24,55051,23868
no.mail.diverse,no.alt.gledesutbrudd,24,26660,21940
no.mail.diverse,no.alt.motorsykler,24,26660,21940
no.mail.diverse,no.alt.pompelog,24,26660,21940
no.mail.diverse,no.alt.radio_tv.irma1000,24,26660,21940
no.mail.diverse,no.eunet.diverse,24,26660,21940
no.mail.diverse,no.eunet.drift,24,26660,21940
no.mail.diverse,no.eunet.hjelp,24,26660,21940
no.mail.diverse,no.standard,24,26660,21940
no.mail.diverse,no.stortinget,24,26660,21940
no.mail.drift,no.alt.gledesutbrudd,24,20201,18601
no.mail.drift,no.alt.mat,24,20201,18601
no.mail.drift,no.alt.motorsykler,24,20201,18601
no.mail.drift,no.alt.pompelog,24,20201,18601
no.mail.drift,no.alt.radio_tv.irma1000,24,20201,18601
no.mail.drift,no.eunet.diverse,24,20201,18601
no.mail.drift,no.eunet.drift,24,20201,18601
no.mail.drift,no.eunet.hjelp,24,20201,18601
no.mail.drift,no.standard,24,20201,18601
no.mail.drift,no.stortinget,24,20201,18601
no.marked,no.alt.pompelog,24,50284,36323
no.marked,no.eunet.diverse,24,50284,36323
no.marked,no.eunet.drift,24,50284,36323
no.marked,no.eunet.hjelp,24,50284,36323
no.marked,no.standard,24,50284,36323
no.media,no.mail.diverse,24,862,728
no.ms-windows,no.biz.annonser,24,21902,9781
no.multimedia,no.alt.motorsykler,24,31206,26667
no.multimedia,no.alt.pompelog,24,31206,26667
no.multimedia,no.alt.radio_tv.irma1000,24,31206,26667
no.multimedia,no.eunet.diverse,24,31206,26667
no.multimedia,no.eunet.drift,24,31206,26667
no.multimedia,no.eunet.hjelp,24,31206,26667
no.multimedia,no.standard,24,31206,26667
no.multimedia,no.stortinget,24,31206,26667
no.musikk.gitar,no.radio_tv,24,15536,12739
no.musikk.gitar,no.standard,24,15536,12739
no.net,no.alt.gledesutbrudd,24,23765,19184
no.net,no.alt.mat,24,23765,19184
no.net,no.alt.radio_tv.irma1000,24,23765,19184
no.news.drift,no.alt.gledesutbrudd,24,6403,5345
no.news.drift,no.alt.god.jul,24,6403,5345
no.news.drift,no.alt.mat,24,6403,5345
no.news.drift,no.alt.motorsykler,24,6403,5345
no.news.drift,no.alt.radio_tv.irma1000,24,6403,5345
no.news.drift,no.alt.tegneserier,24,6403,5345
no.news.drift,no.audio,24,6403,5345
no.news.drift,no.embnet,24,6403,5345
no.news.drift,no.eunet.diverse,24,6403,5345
no.news.drift,no.standard,24,6403,5345
no.news.drift,no.stortinget,24,6403,5345
no.norsk,no.alt.mat,24,107590,28991
no.norsk,no.alt.motorsykler,24,107590,28991
no.norsk,no.alt.pompelog,24,107590,28991
no.norsk,no.alt.radio_tv.irma1000,24,107590,28991
no.norsk,no.eunet.hjelp,24,107590,28991
no.norsk,no.standard,24,107590,28991
no.nuug,no.alt.frustrasjoner,24,3090,2947
no.nuug,no.alt.gledesutbrudd,24,3090,2947
no.nuug,no.alt.mat,24,3090,2947
no.nuug,no.alt.motorsykler,24,3090,2947
no.nuug,no.alt.pompelog,24,3090,2947
no.nuug,no.alt.radio_tv.irma1000,24,3090,2947
no.nuug,no.alt.tegneserier,24,3090,2947
no.nuug,no.audio,24,3090,2947
no.nuug,no.c,24,3090,2947
no.nuug,no.ef,24,3090,2947
no.nuug,no.embnet,24,3090,2947
no.nuug,no.eunet.diverse,24,3090,2947
no.nuug,no.eunet.drift,24,3090,2947
no.nuug,no.eunet.hjelp,24,3090,2947
no.nuug,no.stortinget,24,3090,2947
no.org.efn.diskusjon,no.film,24,11860,7006
no.prat.politikk,no.havforskning,24,51683,26609
no.prat.politikk,no.vitser,24,51683,26609
no.radio_tv,no.alt.god.jul,24,6092,3057
no.radio_tv,no.alt.mat,24,6092,3057
no.radio_tv,no.alt.motorsykler,24,6092,3057
no.radio_tv,no.alt.pompelog,24,6092,3057
no.radio_tv,no.c,24,6092,3057
no.radio_tv,no.ef,24,6092,3057
no.radio_tv,no.embnet,24,6092,3057
no.radio_tv,no.eunet.diverse,24,6092,3057
no.radio_tv,no.eunet.drift,24,6092,3057
no.radio_tv,no.eunet.hjelp,24,6092,3057
no.radio_tv,no.musikk.gitar,24,6092,3057
no.radio_tv,no.org.efn.diskusjon,24,6092,3057
no.radio_tv,no.tungregning,24,6092,3057
no.skole.diverse,no.alt.diskusjoner,24,7597,5491
no.skole.diverse,no.havforskning,24,7597,5491
no.skole.diverse,no.vit.diverse,24,7597,5491
no.slekt,no.alt.gledesutbrudd,24,8720,2814
no.slekt,no.alt.god.jul,24,8720,2814
no.slekt,no.alt.mat,24,8720,2814
no.slekt,no.alt.motorsykler,24,8720,2814
no.slekt,no.alt.pompelog,24,8720,2814
no.slekt,no.alt.radio_tv.irma1000,24,8720,2814
no.slekt,no.alt.tegneserier,24,8720,2814
no.slekt,no.ef,24,8720,2814
no.slekt,no.embnet,24,8720,2814
no.slekt,no.eunet.diverse,24,8720,2814
no.slekt,no.eunet.drift,24,8720,2814
no.slekt,no.eunet.hjelp,24,8720,2814
no.slekt,no.org.efn.diskusjon,24,8720,2814
no.sources.list,no.alt.frustrasjoner,24,1388,1355
no.sources.list,no.alt.gledesutbrudd,24,1388,1355
no.sources.list,no.alt.god.jul,24,1388,1355
no.sources.list,no.alt.mat,24,1388,1355
no.sources.list,no.alt.motorsykler,24,1388,1355
no.sources.list,no.alt.pompelog,24,1388,1355
no.sources.list,no.alt.radio_tv.irma1000,24,1388,1355
no.sources.list,no.alt.tegneserier,24,1388,1355
no.sources.list,no.audio,24,1388,1355
no.sources.list,no.c,24,1388,1355
no.sources.list,no.ef,24,1388,1355
no.sources.list,no.embnet,24,1388,1355
no.sources.list,no.eunet.diverse,24,1388,1355
no.sources.list,no.eunet.drift,24,1388,1355
no.sources.list,no.eunet.hjelp,24,1388,1355
no.sources.list,no.irc,24,1388,1355
no.sources.list,no.org.efn.diskusjon,24,1388,1355
no.sources.wanted,no.alt.frustrasjoner,24,1564,1441
no.sources.wanted,no.alt.gledesutbrudd,24,1564,1441
no.sources.wanted,no.alt.god.jul,24,1564,1441
no.sources.wanted,no.alt.mat,24,1564,1441
no.sources.wanted,no.alt.motorsykler,24,1564,1441
no.sources.wanted,no.alt.pompelog,24,1564,1441
no.sources.wanted,no.alt.radio_tv.irma1000,24,1564,1441
no.sources.wanted,no.alt.tegneserier,24,1564,1441
no.sources.wanted,no.audio,24,1564,1441
no.sources.wanted,no.c,24,1564,1441
no.sources.wanted,no.ef,24,1564,1441
no.sources.wanted,no.embnet,24,1564,1441
no.sources.wanted,no.eunet.diverse,24,1564,1441
no.sources.wanted,no.eunet.drift,24,1564,1441
no.sources.wanted,no.eunet.hjelp,24,1564,1441
no.sources.wanted,no.irc,24,1564,1441
no.sources.wanted,no.org.efn.diskusjon,24,1564,1441
no.speider,no.alt.god.jul,24,4784,1847
no.speider,no.alt.mat,24,4784,1847
no.speider,no.alt.pompelog,24,4784,1847
no.speider,no.alt.radio_tv.irma1000,24,4784,1847
no.speider,no.alt.tegneserier,24,4784,1847
no.speider,no.audio,24,4784,1847
no.speider,no.c,24,4784,1847
no.speider,no.ef,24,4784,1847
no.speider,no.embnet,24,4784,1847
no.speider,no.eunet.diverse,24,4784,1847
no.speider,no.eunet.drift,24,4784,1847
no.speider,no.eunet.hjelp,24,4784,1847
no.speider,no.org.efn.diskusjon,24,4784,1847
no.sport.diverse,no.alt.mat,24,15689,4266
no.sport.diverse,no.alt.motorsykler,24,15689,4266
no.sport.diverse,no.alt.pompelog,24,15689,4266
no.sport.diverse,no.alt.radio_tv.irma1000,24,15689,4266
no.sport.diverse,no.alt.tegneserier,24,15689,4266
no.sport.diverse,no.ef,24,15689,4266
no.sport.diverse,no.embnet,24,15689,4266
no.sport.diverse,no.eunet.diverse,24,15689,4266
no.sport.diverse,no.eunet.drift,24,15689,4266
no.sport.diverse,no.eunet.hjelp,24,15689,4266
no.sport.diverse,no.org.efn.diskusjon,24,15689,4266
no.sport.diverse,no.reiser,24,15689,4266
no.tegnsett,no.alt.god.jul,24,2870,1883
no.tegnsett,no.alt.mat,24,2870,1883
no.tegnsett,no.alt.motorsykler,24,2870,1883
no.tegnsett,no.alt.pompelog,24,2870,1883
no.tegnsett,no.alt.radio_tv.irma1000,24,2870,1883
no.tegnsett,no.alt.tegneserier,24,2870,1883
no.tegnsett,no.audio,24,2870,1883
no.tegnsett,no.c,24,2870,1883
no.tegnsett,no.ef,24,2870,1883
no.tegnsett,no.embnet,24,2870,1883
no.tegnsett,no.eunet.diverse,24,2870,1883
no.tegnsett,no.eunet.drift,24,2870,1883
no.tegnsett,no.eunet.hjelp,24,2870,1883
no.tegnsett,no.org.efn.diskusjon,24,2870,1883
no.uninett.skole,no.skole.diverse,24,3275,1722
no.vit.diverse,no.skole.diverse,24,3710,1319
no.alt.frustrasjoner,no.ms-windows,23,142818,41663
no.alt.katter,no.biz.annonser,23,5789,2679
no.alt.mat.drikke,no.biz.annonser,23,3508,2315
no.alt.mat.drikke,no.marked,23,3508,2315
no.amiga,no.www,23,13494,803
no.biz.diskusjoner,no.embnet,23,1933,1624
no.c,no.tungregning,23,23413,17227
no.ef,no.kryptografi,23,29077,23384
no.ef,no.tungregning,23,29077,23384
no.embnet,no.biz.diskusjoner,23,17286,16200
no.embnet,no.tungregning,23,17286,16200
no.eunet.diverse,no.musikk.gitar,23,3074,2762
no.eunet.diverse,unknown,23,3074,2762
no.eunet.drift,no.musikk.gitar,23,2743,2106
no.eunet.hjelp,no.musikk.gitar,23,3090,2350
no.eunet.hjelp,no.news.diverse,23,3090,2350
no.marked.data,no.vitser,23,33874,20913
no.musikk.gitar,no.tungregning,23,15536,12739
no.news.diverse,no.bil,23,62629,27354
no.news.diverse,no.elektronikk,23,62629,27354
no.norsk,no.svar,23,107590,28991
no.nuug,no.tungregning,23,3090,2947
no.org.efn.diskusjon,no.tungregning,23,11860,7006
no.prat.narkotika,no.perl,23,19057,7971
no.prat.ufo,no.marked,23,4761,628
no.prat.ufo,no.media,23,4761,628
no.prat.ufo,no.perl,23,4761,628
no.reiser,no.sport.diverse,23,2299,410
no.typografi,unknown,23,3442,2698
no.uninett.skole,no.mail.diverse,23,3275,1722
no.uninett.skole,no.marked,23,3275,1722
no.alkohol,no.alt.sjokolade,22,26420,13785
no.alt.arkiv,no.alt.sjokolade,22,2971,2714
no.alt.katter,no.medisin,22,5789,2679
no.alt.motorsykler,no.alt.sjokolade,22,272638,18101
no.alt.motorsykler,no.reiser,22,272638,18101
no.alt.pompel-og-pilt,no.biz.diskusjoner,22,13193,12415
no.alt.pompel-og-pilt,no.bolig,22,13193,12415
no.alt.radio-tv.irma-1000,no.biz.diskusjoner,22,12006,11504
no.alt.radio-tv.irma-1000,no.bolig,22,12006,11504
no.alt.tegneserier,no.alt.sjokolade,22,18956,14973
no.audio,no.alt.katter,22,47065,21499
no.audio,no.alt.mat.drikke,22,47065,21499
no.bil,no.alt.katter,22,31226,13872
no.bil,no.alt.mat.drikke,22,31226,13872
no.biz.annonser.data,unknown,22,2365,1608
no.biz.diskusjoner,no.alt.katter,22,1933,1624
no.biz.diskusjoner,no.alt.mat.drikke,22,1933,1624
no.biz.diskusjoner,no.alt.pompel-og-pilt,22,1933,1624
no.biz.diskusjoner,no.alt.radio-tv.irma-1000,22,1933,1624
no.biz.diskusjoner,no.alt.tegneserier,22,1933,1624
no.biz.diskusjoner,no.havforskning,22,1933,1624
no.biz.diskusjoner,no.jus,22,1933,1624
no.biz.diskusjoner,no.kjemi,22,1933,1624
no.bolig,no.alt.katter,22,1856,1068
no.bolig,no.alt.mat.drikke,22,1856,1068
no.bolig,no.alt.pompel-og-pilt,22,1856,1068
no.bolig,no.alt.radio-tv.irma-1000,22,1856,1068
no.bolig,no.alt.tegneserier,22,1856,1068
no.bolig,no.havforskning,22,1856,1068
no.c,no.alt.katter,22,23413,17227
no.c,no.alt.mat.drikke,22,23413,17227
no.c,no.biz.annonser,22,23413,17227
no.ef,no.alt.katter,22,29077,23384
no.ef,no.alt.mat.drikke,22,29077,23384
no.elektronikk,no.alt.katter,22,24612,17793
no.elektronikk,no.alt.mat.drikke,22,24612,17793
no.embnet,no.alt.katter,22,17286,16200
no.embnet,no.alt.mat.drikke,22,17286,16200
no.embnet,no.biz.annonser,22,17286,16200
no.folklore.edb,no.general,22,2185,1647
no.havforskning,no.news.diverse,22,17004,15678
no.irc,no.sport.diverse,22,53520,29112
no.jus,no.alt.flame,22,59888,34547
no.linux,no.kryptografi,22,55051,23868
no.litteratur,no.media,22,29283,20463
no.litteratur,no.norsk.fagord,22,29283,20463
no.marked,no.kryptografi,22,50284,36323
no.marked.diskusjon,no.lisp,22,884,728
no.marked.diskusjon,no.marked.bil,22,884,728
no.marked.diskusjon,no.marked.bolig,22,884,728
no.marked.diskusjon,no.perl,22,884,728
no.nuug,no.marked.data,22,3090,2947
no.org.efn.diskusjon,no.standard,22,11860,7006
no.radio_tv,no.standard,22,6092,3057
no.standard,no.tegnsett,22,928,767
no.stortinget,no.film,22,30197,14787
no.stortinget,no.irc,22,30197,14787
no.telepost,no.film,22,7580,5114
no.vit.diverse,no.alt.god.jul,22,3710,1319
no.vit.diverse,no.stortinget,22,3710,1319
no.alt.gledesutbrudd,no.bil,21,34672,9680
no.alt.gledesutbrudd,no.it.emacs,21,34672,9680
no.alt.god.jul,no.ai,21,14888,13251
no.alt.god.jul,no.alt.arkiv,21,14888,13251
no.alt.mat.drikke,no.havforskning,21,3508,2315
no.alt.mat.drikke,no.kjemi,21,3508,2315
no.alt.mat.drikke,no.marked.jobb,21,3508,2315
no.alt.motorsykler,no.musikk,21,272638,18101
no.alt.pompel-og-pilt,no.biz.annonser,21,13193,12415
no.alt.radio-tv.irma-1000,no.biz.annonser,21,12006,11504
no.audio,no.marked.bil,21,47065,21499
no.biz.diskusjoner,no.film,21,1933,1624
no.biz.diskusjoner,no.irc,21,1933,1624
no.biz.diskusjoner,no.kryptografi,21,1933,1624
no.biz.diskusjoner,no.linux,21,1933,1624
no.biz.diskusjoner,no.lisp,21,1933,1624
no.biz.diskusjoner,no.litteratur,21,1933,1624
no.biz.diskusjoner,no.mac,21,1933,1624
no.biz.diskusjoner,no.mail.diverse,21,1933,1624
no.biz.diskusjoner,no.mail.drift,21,1933,1624
no.bolig,no.mail.diverse,21,1856,1068
no.bolig,no.mail.drift,21,1856,1068
no.ef,no.biz.annonser,21,29077,23384
no.ef,no.standard,21,29077,23384
no.embnet,no.standard,21,17286,16200
no.general,no.alt.radio_tv.irma1000,21,572652,195646
no.irc,no.alt.gledesutbrudd,21,53520,29112
no.irc,no.nuug,21,53520,29112
no.irc,no.psykologi,21,53520,29112
no.irc,no.sources.list,21,53520,29112
no.irc,no.sources.wanted,21,53520,29112
no.irc,no.speider,21,53520,29112
no.irc,no.tegnsett,21,53520,29112
no.irc,no.telepost,21,53520,29112
no.it.emacs,no.mac,21,3435,945
no.litteratur,no.perl,21,29283,20463
no.nuug,no.irc,21,3090,2947
no.nuug,no.standard,21,3090,2947
no.pc,no.prat.aksjer,21,72503,28078
no.sources.wanted,no.elektronikk,21,1564,1441
no.sport.diverse,no.marked.jobb,21,15689,4266
no.tegnsett,no.irc,21,2870,1883
no.uninett.skole,no.news.diverse,21,3275,1722
no.video,no.general,21,1701,1028
no.vit.diverse,no.elektronikk,21,3710,1319
no.ai,no.alt.god.jul,20,3748,2988
no.alt.arkiv,no.alt.god.jul,20,2971,2714
no.alt.diskusjoner,no.bil,20,168368,81207
no.alt.katter,no.film,20,5789,2679
no.alt.katter,no.havforskning,20,5789,2679
no.alt.katter,no.irc,20,5789,2679
no.alt.katter,no.it.emacs,20,5789,2679
no.alt.katter,no.kjemi,20,5789,2679
no.alt.katter,no.kryptografi,20,5789,2679
no.alt.katter,no.linux,20,5789,2679
no.alt.katter,no.lisp,20,5789,2679
no.alt.katter,no.litteratur,20,5789,2679
no.alt.katter,no.mac,20,5789,2679
no.alt.katter,no.mail.diverse,20,5789,2679
no.alt.katter,no.mail.drift,20,5789,2679
no.alt.katter,no.marked.bil,20,5789,2679
