newsgroup_a,newsgroup_b,users_a,users_b,shared_users,jaccard
no.biz.annonser,no.biz.nettilbydere,1973,656,258,0.10881484605651624
no.standard,no.uninett.katalog,100,53,15,0.10869565217391304
no.marked.data,no.ms-windows,7009,2456,927,0.10857343640196768
no.ai,no.alkohol,214,880,107,0.10840932117527863
no.pc,no.tele,5851,1842,751,0.10818208009219245
no.news.drift,no.org.efn.diskusjon,223,320,53,0.10816326530612246
no.ef,no.folklore.overtro,319,122,43,0.10804020100502512
no.news.diverse,no.religion,1446,1357,273,0.10790513833992095
no.alt.diskusjoner,no.vit.diverse,1895,449,228,0.10775047258979206
no.folklore.edb,no.lisp,207,194,39,0.10773480662983426
no.kryptografi,no.uninett.diverse,245,177,41,0.10761154855643044
no.audio,no.bil,1992,1920,380,0.10758776896942242
no.embnet,no.folklore.generelt,63,40,10,0.10752688172043011
no.org.isoc-no,no.uninett.katalog,50,53,10,0.10752688172043011
no.it.diverse,no.vit.diverse,574,449,99,0.10714285714285714
no.nuug,no.sources.list,108,78,18,0.10714285714285714
no.alt.gledesutbrudd,no.media,1358,709,200,0.10712372790573112
no.general,no.linux,5478,2391,760,0.10690673793782529
no.ms-windows,no.tele,2456,1842,415,0.10687612670615504
no.marked,no.www,6278,3396,933,0.10673835945543989
no.alt.mat.drikke,no.vit.diverse,516,449,93,0.10665137614678899
no.alt.diskusjoner,no.film,1895,1867,361,0.10614525139664804
no.uninett.diverse,no.uninett.katalog,177,53,22,0.10576923076923077
no.alt.arkiv,no.alt.radio-tv.irma-1000,160,269,41,0.1056701030927835
no.alt.mat.drikke,no.alt.sjokolade,516,635,110,0.10566762728146013
no.alt.gledesutbrudd,no.www,1358,3396,454,0.1055813953488372
no.linux,no.pc,2391,5851,787,0.10556673373574782
no.linux,no.www,2391,3396,552,0.10544412607449857
no.alt.config,no.ef,313,319,60,0.1048951048951049
no.alt.diskusjoner,no.litteratur,1895,1161,290,0.10484454085321765
no.folklore.edb,no.it.emacs,207,247,43,0.10462287104622871
no.elektronikk,no.tele,1920,1842,356,0.10452143276570758
no.net,no.tele,862,1842,255,0.10412413229889751
no.norsk,no.radio-tv,1503,1987,329,0.10408098702942106
no.ef,no.psykologi,319,458,73,0.10369318181818182
no.alt.gledesutbrudd,no.alt.sjokolade,1358,635,187,0.1035437430786268
no.general,no.musikk,5478,2990,794,0.10346624967422466
no.it.diverse,no.net,574,862,134,0.10291858678955453
no.biz.nettilbydere,no.tele,656,1842,233,0.10286975717439294
no.alt.diskusjoner,no.alt.mat,1895,983,268,0.10268199233716475
no.it.diverse,no.news.diverse,574,1446,188,0.10262008733624454
no.eunet.diverse,no.eunet.hjelp,74,141,20,0.10256410256410256
no.biz.annonser.data,no.ms-windows,1493,2456,367,0.10245672808486879
no.folklore.overtro,no.vit.diverse,122,449,53,0.10231660231660232
no.general,no.religion,5478,1357,634,0.10224157393968715
no.musikk,no.musikk.gitar,2990,798,351,0.10212394530113471
no.audio,no.video,1992,903,268,0.1020175104682147
no.irc,no.www,1141,3396,420,0.10201603109059995
no.unix,no.www,1157,3396,421,0.10188770571151985
no.alt.config,no.alt.diskusjoner,313,1895,204,0.10179640718562874
no.news.diverse,no.prat.seksualitet,1446,848,210,0.10076775431861804
no.it.emacs,no.kryptografi,247,245,45,0.10067114093959731
no.jus,no.radio-tv,1414,1987,311,0.10064724919093851
no.elektronikk,no.pc,1920,5851,710,0.100552329698343
no.jus,no.religion,1414,1357,253,0.10047656870532168
no.alt.gledesutbrudd,no.film,1358,1867,294,0.10030706243602866
no.biz.annonser.data,no.pc,1493,5851,669,0.1002247191011236
no.sources.wanted,no.standard,142,100,22,0.1
no.jus,no.mail.diverse,1414,657,188,0.09984067976633032
no.radio-tv,no.video,1987,903,262,0.09969558599695585
no.news.diverse,no.tele,1446,1842,298,0.09966555183946488
no.alkohol,no.prat.politikk,880,1118,181,0.0996147495872317
no.alkohol,no.alt.config,880,313,108,0.09953917050691244
no.tungregning,no.uninett.drift,92,85,16,0.09937888198757763
no.alt.irc-treff,no.irc,237,1141,124,0.09888357256778309
no.audio,no.musikk,1992,2990,447,0.09856670341786108
no.marked.data,no.spill,7009,2481,850,0.09837962962962964
no.vitser,no.www,2603,3396,537,0.09831563529842549
no.lisp,no.org.efn.diskusjon,194,320,46,0.09829059829059829
no.audio,no.marked,1992,6278,740,0.09827357237715803
no.org.nobug.diverse,no.tungregning,76,92,15,0.09803921568627451
no.psykologi,no.religion,458,1357,162,0.09800362976406533
no.alt.diskusjoner,no.musikk,1895,2990,436,0.0979995504607777
no.marked.data,no.www,7009,3396,927,0.09780544418653725
no.jus,no.tele,1414,1842,290,0.09777478084962914
no.embnet,no.uninett.hjelp,63,83,13,0.09774436090225563
no.nuug,no.uninett.hjelp,108,83,17,0.09770114942528736
no.alt.diskusjoner,no.tele,1895,1842,332,0.09750367107195301
no.alt.gledesutbrudd,no.religion,1358,1357,241,0.09741309620048505
no.alt.arkiv,no.alt.fan.de-lillos,160,88,22,0.09734513274336283
no.alt.diskusjoner,no.pc,1895,5851,687,0.09732256693582661
no.general,no.tele,5478,1842,649,0.09728676360365762
no.irc,no.media,1141,709,164,0.09727164887307237
no.alt.config,no.alt.god.jul,313,443,67,0.09724238026124818
no.linux,no.news.diverse,2391,1446,340,0.09722619388046898
no.nuug,no.org.isoc-no,108,50,14,0.09722222222222222
no.ms-windows,no.multimedia,2456,910,297,0.0967741935483871
no.film,no.general,1867,5478,648,0.09675974316858295
no.general,no.marked.data,5478,7009,1101,0.0966976989285087
no.unix,no.x,1157,228,122,0.09659540775930324
no.alt.mat.drikke,no.hobby.diverse,516,790,115,0.09655751469353484
no.org.nobug.diverse,no.uninett.hjelp,76,83,14,0.09655172413793103
no.multimedia,no.net,910,862,156,0.09653465346534654
no.alt.diskusjoner,no.psykologi,1895,458,207,0.09645852749301025
no.ms-windows,no.spill,2456,2481,434,0.09638019098378858
no.prat.seksualitet,no.vit.diverse,848,449,114,0.09636517328825021
no.norsk,no.religion,1503,1357,251,0.09620544269835186
no.nuug,no.uninett.diverse,108,177,25,0.09615384615384616
no.irc,no.org.efn.diskusjon,1141,320,128,0.09602400600150038
no.media,no.stortinget,709,501,106,0.09601449275362318
no.bil,no.marked,1920,6278,717,0.09584280176446999
no.jus,no.stortinget,1414,501,167,0.09553775743707094
no.general,no.irc,5478,1141,577,0.09549817941079113
no.sources.list,no.uninett.hjelp,78,83,14,0.09523809523809523
no.prat.politikk,no.psykologi,1118,458,137,0.09520500347463516
no.it.diverse,no.mail.diverse,574,657,107,0.09519572953736655
no.elektronikk,no.radio-tv,1920,1987,339,0.09501121076233184
no.alt.gledesutbrudd,no.unix,1358,1157,218,0.09490639965171964
no.biz.annonser,no.marked.jobb,1973,1616,311,0.09487492373398414
no.prat.politikk,no.www,1118,3396,391,0.09483385884065001
no.ef,no.pressemeldinger,319,328,56,0.09475465313028765
no.c,no.news.diverse,727,1446,188,0.0947103274559194
no.alt.config,no.news.diverse,313,1446,152,0.09458618543870566
no.it.emacs,no.x,247,228,41,0.0944700460829493
no.lisp,no.uninett.diverse,194,177,32,0.0943952802359882
no.it.emacs,no.vit.diverse,247,449,60,0.09433962264150944
no.alt.diskusjoner,no.prat.narkotika,1895,414,199,0.09431279620853081
no.lisp,no.perl,194,479,58,0.0943089430894309
no.alt.tegneserier,no.film,779,1867,228,0.09429280397022333
