newsgroup_a,newsgroup_b,users_a,users_b,shared_users,jaccard
no.alt.diskusjoner,no.irc,2367,1472,471,0.13984560570071258
no.news.drift,no.tegnsett,379,249,77,0.1397459165154265
no.pc,no.spill,7028,2992,1226,0.13941323629747554
no.it.emacs,no.lisp,394,302,85,0.13911620294599017
no.prat.politikk,no.vit.diverse,1150,473,198,0.13894736842105262
no.ef,no.kjemi,567,745,160,0.1388888888888889
no.standard,no.tungregning,129,118,30,0.1382488479262673
no.alt.diskusjoner,no.stortinget,2367,665,368,0.13813813813813813
no.c,no.unix,1036,1435,299,0.13766114180478822
no.c,no.havforskning,1036,397,173,0.1373015873015873
no.bibsys,no.biz,235,55,35,0.13725490196078433
no.ef,no.mail.diverse,567,993,188,0.13702623906705538
no.alkohol,no.prat.narkotika,1192,526,207,0.1369953673064196
no.jus,no.kjemi,1851,745,312,0.13660245183887915
no.tungregning,no.uninett.hjelp,118,124,29,0.13615023474178403
no.news.drift,no.nuug,379,164,65,0.13598326359832635
no.net,no.unix,1216,1435,317,0.13581833761782347
no.mail.diverse,no.news.drift,993,379,163,0.1348221670802316
no.biz.annonser.data,no.marked.data,1548,7987,1132,0.1347137926930858
no.audio,no.elektronikk,2492,2250,562,0.13444976076555024
no.alt.tegneserier,no.embnet,1043,260,154,0.134029590948651
no.alt.config,no.alt.god.jul,407,570,115,0.1334106728538283
no.jus,no.net,1851,1216,361,0.1334072431633407
no.alt.gledesutbrudd,no.alt.mat,1753,1286,357,0.1331096196868009
no.tungregning,no.uninett.drift,118,112,27,0.1330049261083744
no.ef,no.prat.politikk,567,1150,201,0.13258575197889183
no.film,no.musikk,2587,3667,729,0.13194570135746606
no.alt.arkiv,no.alt.radio-tv.irma-1000,199,309,59,0.13140311804008908
no.biz.annonser,no.marked,2197,8430,1234,0.13137442776535718
no.alt.god.jul,no.alt.tegneserier,570,1043,187,0.13113604488078542
no.ef,no.jus,567,1851,280,0.13096351730589337
no.irc,no.news.diverse,1472,1892,389,0.1307563025210084
no.net,no.www,1216,3452,539,0.13054008234439332
no.general,no.marked,7075,8430,1788,0.13034920172049283
no.sources.wanted,no.standard,218,129,40,0.13029315960912052
no.mail.drift,no.multimedia,430,1383,207,0.12889165628891655
no.alt.gledesutbrudd,no.general,1753,7075,1007,0.12875591356604016
no.alt.frustrasjoner,no.vitser,3039,3555,752,0.12872304005477575
no.news.diverse,no.unix,1892,1435,379,0.128561736770692
no.c,no.irc,1036,1472,284,0.12769784172661872
no.musikk,no.musikk.gitar,3667,1148,543,0.1271067415730337
no.alt.sjokolade,no.embnet,656,260,103,0.12669126691266913
no.alt.gledesutbrudd,no.jus,1753,1851,405,0.12660206314473274
no.prat.narkotika,no.prat.politikk,526,1150,188,0.12634408602150538
no.irc,no.mail.diverse,1472,993,276,0.12608497030607582
no.alt.frustrasjoner,no.irc,3039,1472,504,0.12577988520089842
no.skole.diverse,no.uninett.skole,563,522,121,0.12551867219917012
no.alt.frustrasjoner,no.radio-tv,3039,2075,569,0.1251925192519252
no.alt.gledesutbrudd,no.norsk,1753,1962,413,0.1250757116898849
no.kjemi,no.net,745,1216,218,0.12507171543316123
no.jus,no.litteratur,1851,1532,376,0.1250415696707682
no.kjemi,no.litteratur,745,1532,253,0.125
no.sources.list,no.uninett.hjelp,101,124,25,0.125
no.c,no.net,1036,1216,250,0.12487512487512488
no.alt.config,no.alt.pompelog,407,143,61,0.12474437627811862
no.alt.pompel-og-pilt,no.alt.tegneserier,329,1043,152,0.12459016393442623
no.c,no.lisp,1036,302,148,0.12436974789915967
no.media,no.prat.politikk,734,1150,208,0.12410501193317422
no.alt.radio-tv.irma-1000,no.alt.tegneserier,309,1043,149,0.12385702410640066
no.news.diverse,no.news.drift,1892,379,250,0.12370113805047006
no.perl,no.unix,564,1435,220,0.12366498032602585
no.biz.diskusjoner,no.embnet,431,260,76,0.12357723577235773
no.c,no.mail.diverse,1036,993,223,0.12347729789590255
no.alt.diskusjoner,no.radio-tv,2367,2075,488,0.12341932220536166
no.biz.annonser.data,no.biz.nettilbydere,1548,686,245,0.1231774761186526
no.bibsys,no.c,235,1036,139,0.12279151943462897
no.alt.sjokolade,no.ef,656,567,133,0.12201834862385322
no.kjemi,no.multimedia,745,1383,231,0.12177121771217712
no.alt.gledesutbrudd,no.irc,1753,1472,350,0.12173913043478261
no.alt.diskusjoner,no.prat.seksualitet,2367,883,351,0.1210762331838565
no.sources.list,no.uninett.drift,101,112,23,0.12105263157894737
no.nuug,no.uninett.katalog,164,68,25,0.12077294685990338
no.mail.drift,no.nuug,430,164,64,0.12075471698113208
no.litteratur,no.mail.diverse,1532,993,272,0.12072791833111407
no.alt.diskusjoner,no.media,2367,734,334,0.12070834839176003
no.alt.diskusjoner,no.ef,2367,567,316,0.12070282658517953
no.litteratur,no.mail.drift,1532,430,211,0.12050256996002284
no.irc,no.net,1472,1216,289,0.1204668611921634
no.linux,no.net,3019,1216,455,0.12037037037037036
no.alt.frustrasjoner,no.prat.politikk,3039,1150,450,0.1203530355710083
no.alt.radio-tv.irma-1000,no.kjemi,309,745,113,0.12008501594048884
no.jus,no.www,1851,3452,566,0.11948490605868693
no.havforskning,no.mail.diverse,397,993,148,0.11916264090177134
no.marked.data,no.ms-windows,7987,3235,1194,0.1190666134822497
no.alkohol,no.alt.config,1192,407,170,0.11896431070678797
no.linux,no.pc,3019,7028,1068,0.11894420314066155
no.biz.annonser,no.marked.data,2197,7987,1082,0.11887497253350912
no.biz.diskusjoner,no.ef,431,567,106,0.11883408071748879
no.ef,no.net,567,1216,189,0.11856963613550815
no.kjemi,no.medisin,745,1038,189,0.11856963613550815
no.tegnsett,no.uninett.diverse,249,262,54,0.11816192560175055
no.alt.diskusjoner,no.alt.mat,2367,1286,386,0.11815120906029997
no.kryptografi,no.org.efn.diskusjon,359,446,85,0.11805555555555555
no.alt.god.jul,no.havforskning,570,397,102,0.11791907514450867
no.alt.sjokolade,no.lisp,656,302,101,0.11785297549591599
no.alt.gledesutbrudd,no.prat.politikk,1753,1150,306,0.11782826338082403
no.tele,no.www,2097,3452,584,0.1176233635448137
no.bibsys,no.kjemi,235,745,103,0.11744583808437856
no.mail.diverse,no.unix,993,1435,255,0.11734928670041417
no.sources.wanted,no.tegnsett,218,249,49,0.11722488038277512
no.jus,no.org.efn.diskusjon,1851,446,241,0.11721789883268482
no.alt.frustrasjoner,no.film,3039,2587,590,0.11715647339158063
no.alt.config,no.ef,407,567,102,0.11697247706422019
no.general,no.prat.politikk,7075,1150,861,0.11692015209125475
no.norsk,no.www,1962,3452,565,0.1165188698700763
no.alt.god.jul,no.lisp,570,302,91,0.11651728553137004
no.sources.list,no.standard,101,129,24,0.11650485436893204
no.havforskning,no.irc,397,1472,195,0.11648745519713262
no.alt.config,no.news.drift,407,379,82,0.11647727272727272
no.ai,no.lisp,254,302,58,0.11646586345381527
no.kjemi,no.vit.diverse,745,473,127,0.11640696608615948
no.alt.diskusjoner,no.net,2367,1216,373,0.1161993769470405
no.marked,no.musikk,8430,3667,1259,0.11616534415943901
no.eunet.diverse,no.eunet.hjelp,141,244,40,0.11594202898550725
no.alt.diskusjoner,no.film,2367,2587,514,0.11576576576576576
no.alt.frustrasjoner,no.pc,3039,7028,1044,0.11570431120469911
no.news.diverse,no.radio-tv,1892,2075,411,0.11557930258717661
no.org.efn.diskusjon,no.tegnsett,446,249,72,0.11556982343499198
no.c,no.jus,1036,1851,299,0.11553323029366307
no.general,no.linux,7075,3019,1044,0.11535911602209944
no.embnet,no.irc,260,1472,179,0.11526078557630393
no.alt.tegneserier,no.film,1043,2587,375,0.1152073732718894
no.media,no.radio-tv,734,2075,290,0.11512504962286621
no.alt.diskusjoner,no.vitser,2367,3555,611,0.11504424778761062
no.org.efn.diskusjon,no.telepost,446,417,89,0.11498708010335917
no.uninett.diverse,no.uninett.katalog,262,68,34,0.11486486486486487
no.media,no.multimedia,734,1383,218,0.114797261716693
no.uninett.diverse,no.vr,262,166,44,0.11458333333333333
no.standard,no.uninett.hjelp,129,124,26,0.1145374449339207
no.ef,no.org.efn.diskusjon,567,446,104,0.11441144114411442
no.alt.sjokolade,no.havforskning,656,397,108,0.11428571428571428
no.alt.arkiv,no.alt.pompelog,199,143,35,0.11400651465798045
no.prat.politikk,no.prat.seksualitet,1150,883,208,0.11397260273972602
no.alkohol,no.alt.mat.drikke,1192,659,189,0.11371841155234658
no.bibsys,no.biz.diskusjoner,235,431,68,0.11371237458193979
no.media,no.news.diverse,734,1892,268,0.11365564037319763
no.alt.god.jul,no.mail.drift,570,430,102,0.11358574610244988
no.alt.tegneserier,no.c,1043,1036,212,0.11355115158007499
no.alt.frustrasjoner,no.musikk,3039,3667,681,0.11302904564315353
no.ef,no.news.drift,567,379,96,0.11294117647058824
no.kryptografi,no.mail.drift,359,430,80,0.11283497884344147
no.jus,no.mail.drift,1851,430,231,0.1126829268292683
no.radio-tv,no.radio_tv,2075,583,269,0.11259941398074508
no.prat.politikk,no.skole.diverse,1150,563,173,0.11233766233766233
no.jus,no.multimedia,1851,1383,326,0.11210453920220083
no.film,no.video,2587,942,355,0.11184625078764965
no.folklore.generelt,no.folklore.overtro,49,130,18,0.11180124223602485
no.linux,no.www,3019,3452,650,0.11166466242913589
no.c,no.mail.drift,1036,430,147,0.11144806671721001
no.net,no.tele,1216,2097,332,0.1113720228111372
no.linux,no.news.diverse,3019,1892,492,0.11133740665308893
no.it.emacs,no.unix,394,1435,183,0.11117861482381532
no.musikk,no.radio-tv,3667,2075,574,0.11106811145510836
no.linux,no.mail.diverse,3019,993,401,0.11104957075602326
no.irc,no.www,1472,3452,492,0.11101083032490974
no.c,no.linux,1036,3019,405,0.11095890410958904
no.tegnsett,no.uninett.drift,249,112,36,0.11076923076923077
no.nuug,no.sources.wanted,164,218,38,0.11046511627906977
no.alt.frustrasjoner,no.linux,3039,3019,602,0.11033724340175953
no.audio,no.musikk,2492,3667,612,0.11032990805840995
no.bil,no.elektronikk,2153,2250,437,0.11018658598083711
no.org.isoc-no,no.uninett.katalog,53,68,12,0.11009174311926606
no.tegnsett,no.telepost,249,417,66,0.11
no.audio,no.film,2492,2587,503,0.10992132867132867
no.news.diverse,no.religion,1892,1583,344,0.10986905142127117
no.nuug,no.standard,164,129,29,0.10984848484848485
no.radio-tv,no.www,2075,3452,547,0.10983935742971887
no.embnet,no.mail.diverse,260,993,124,0.10983170947741364
no.norsk,no.religion,1962,1583,350,0.10954616588419405
no.general,no.radio-tv,7075,2075,903,0.10949436158603128
no.alt.diskusjoner,no.litteratur,2367,1532,384,0.10924608819345662
no.elektronikk,no.tele,2250,2097,428,0.10921153355447819
no.film,no.general,2587,7075,950,0.10904499540863177
no.alt.config,no.alt.katter,407,774,116,0.10892018779342723
no.alt.pompelog,no.eunet.hjelp,143,244,38,0.10888252148997135
no.lisp,no.net,302,1216,149,0.10883856829802775
no.alkohol,no.alt.gledesutbrudd,1192,1753,288,0.10839292435077155
no.alt.gledesutbrudd,no.www,1753,3452,509,0.1083901192504259
no.alt.sjokolade,no.kjemi,656,745,137,0.10838607594936708
no.alt.pompel-og-pilt,no.kjemi,329,745,105,0.10835913312693499
no.audio,no.bil,2492,2153,454,0.10832736816988786
no.alt.katter,no.alt.mat.drikke,774,659,140,0.10827532869296211
no.mac,no.multimedia,2742,1383,403,0.10827512090274047
no.alt.config,no.alt.diskusjoner,407,2367,271,0.1082700759089093
no.net,no.norsk,1216,1962,310,0.10808926080892609
no.jus,no.linux,1851,3019,475,0.1080773606370876
no.ef,no.multimedia,567,1383,190,0.10795454545454546
no.pc,no.tele,7028,2097,888,0.10780624013597183
no.alkohol,no.alt.frustrasjoner,1192,3039,411,0.10759162303664921
no.news.diverse,no.tele,1892,2097,387,0.10744031093836758
no.sources.wanted,no.uninett.drift,218,112,32,0.10738255033557047
no.general,no.musikk,7075,3667,1040,0.10719439290867862
no.alt.mat.drikke,no.alt.sjokolade,659,656,127,0.1069023569023569
no.alt.diskusjoner,no.mail.diverse,2367,993,324,0.1067193675889328
no.alt.frustrasjoner,no.alt.mat,3039,1286,417,0.10670419651995906
no.it.emacs,no.x,394,301,67,0.10668789808917198
no.org.efn.diskusjon,no.psykologi,446,584,99,0.10633727175080558
no.biz.annonser,no.biz.nettilbydere,2197,686,277,0.10629316960859554
no.ef,no.stortinget,567,665,118,0.1059245960502693
no.nuug,no.tungregning,164,118,27,0.10588235294117647
no.ai,no.embnet,254,260,49,0.1053763440860215
no.media,no.norsk,734,1962,257,0.10537105371053711
no.ms-windows,no.tele,3235,2097,508,0.10530679933665009
no.irc,no.kjemi,1472,745,211,0.10518444666001994
no.alt.tegneserier,no.havforskning,1043,397,137,0.10514198004604758
no.unix,no.x,1435,301,165,0.10502864417568428
no.it.emacs,no.perl,394,564,91,0.104959630911188
