from_newsgroup,to_newsgroup,number_of_references
no.havforskning,no.kjemi,493
no.marked.data,no.marked.jobb,493
no.medisin,no.mail.drift,493
no.jus,no.mac,492
no.folklore.edb,no.pc,487
no.litteratur,no.film,487
no.marked,no.film,486
no.alt.mat,no.alt.frustrasjoner,485
no.marked,no.musikk.gitar,483
no.ms-windows,unknown,482
no.net,no.ef,481
no.alt.tegneserier,no.havforskning,480
no.film,no.litteratur,479
no.alt.diskusjoner,no.net,477
no.news.diverse,no.musikk,477
no.news.diverse,no.norsk,477
no.jus,no.norsk,476
no.jus,no.multimedia,475
no.irc,no.musikk,474
no.alt.config,no.alt.motorsykler,473
no.alt.god.jul,no.ef,473
no.religion,no.prat.politikk,473
no.litteratur,no.jus,472
no.litteratur,no.musikk,472
no.norsk,no.marked,472
no.alt.frustrasjoner,no.alt.mat,471
no.film,no.marked,471
no.radio-tv,unknown,468
no.tele,no.jus,468
no.bibsys,no.c,465
no.bibsys,no.ef,464
no.bibsys,no.embnet,464
no.bibsys,no.film,464
no.ef,no.bibsys,464
no.embnet,no.bibsys,464
no.film,no.bibsys,464
no.havforskning,no.bibsys,464
no.alt.god.jul,no.multimedia,463
no.elektronikk,unknown,463
no.psykologi,no.ai,463
no.ai,no.general,462
no.c,no.bibsys,462
no.bibsys,no.havforskning,461
no.ef,no.alt.god.jul,461
no.bibsys,no.irc,460
no.irc,no.bibsys,460
no.jus,no.musikk.gitar,460
no.news.diverse,no.net,460
no.mail.drift,no.jus,458
no.ai,no.psykologi,457
no.general,no.biz.annonser,456
no.litteratur,no.net,456
no.mac,no.jus,456
no.bil,no.marked,455
no.net,no.litteratur,455
no.general,no.eunet.diverse,454
no.kjemi,no.general,454
no.kjemi,no.musikk.gitar,454
no.net,no.alt.frustrasjoner,454
no.audio,no.havforskning,452
no.ef,no.multimedia,452
no.ef,no.mac,451
no.spill,no.marked,451
no.multimedia,no.alt.god.jul,450
no.alt.diskusjoner,no.alt.motorsykler,449
no.audio,no.irc,449
no.jus,no.havforskning,447
no.alt.diskusjoner,no.alt.gledesutbrudd,445
no.ef,no.jus,445
no.mac,no.ef,445
no.alt.pompel-og-pilt,no.alt.radio-tv.irma-1000,444
no.multimedia,no.ef,444
no.musikk.gitar,no.marked,443
no.havforskning,no.alt.tegneserier,442
no.alt.tegneserier,no.irc,441
no.tele,unknown,441
no.kjemi,no.musikk,440
no.alt.god.jul,no.mac,439
no.jus,no.ef,439
no.net,no.musikk.gitar,439
no.havforskning,no.jus,437
no.multimedia,no.jus,437
no.org.efn.diskusjon,no.religion,437
no.slekt,unknown,436
no.alt.frustrasjoner,no.alt.config,435
no.alt.frustrasjoner,no.radio-tv,434
no.musikk,no.irc,434
no.musikk,no.litteratur,434
no.tele,no.alt.frustrasjoner,434
no.litteratur,no.musikk.gitar,432
no.multimedia,no.musikk.gitar,432
no.news.drift,no.general,432
