from_newsgroup,to_newsgroup,number_of_references
no.radio-tv,no.alt.god.jul,58
no.sport.diverse,no.news.diverse,58
no.tele,no.pc,58
no.alt.config,no.alkohol,57
no.c,no.net,57
no.ef,no.jus,57
no.ef,no.multimedia,57
no.ef,no.net,57
no.irc,no.musikk,57
no.kjemi,no.general,57
no.medisin,no.linux,57
no.multimedia,no.elektronikk,57
no.musikk,no.net,57
no.net,no.musikk.gitar,57
no.alt.diskusjoner,no.alt.mat,56
no.alt.flame,no.news.diverse,56
no.alt.flame,no.pc,56
no.alt.gledesutbrudd,no.alt.motorsykler,56
no.havforskning,no.alt.tegneserier,56
no.jus,no.embnet,56
no.jus,no.musikk.gitar,56
no.kjemi,no.musikk.gitar,56
no.litteratur,no.alt.diskusjoner,56
no.marked.data,no.general,56
no.multimedia,no.musikk.gitar,56
no.musikk.gitar,no.net,56
no.net,no.musikk,56
no.norsk,no.net,56
no.radio-tv,no.alt.frustrasjoner,56
no.radio_tv,unknown,56
no.video,no.film,56
no.www,no.ms-windows,56
no.alt.config,no.alt.diskusjoner,55
no.alt.diskusjoner,no.litteratur,55
no.alt.irc-treff,unknown,55
no.c,no.linux,55
no.jus,no.c,55
no.kjemi,no.irc,55
no.kjemi,no.musikk,55
no.linux,no.marked.data,55
no.mac,no.musikk.gitar,55
no.multimedia,no.alt.god.jul,55
no.musikk.gitar,no.multimedia,55
no.alt.god.jul,no.mac,54
no.audio,no.havforskning,54
no.audio,no.mac,54
no.irc,no.audio,54
no.irc,no.litteratur,54
no.linux,no.musikk.gitar,54
no.linux,no.norsk,54
no.litteratur,no.musikk.gitar,54
no.mac,no.alt.god.jul,54
no.mail.diverse,no.musikk.gitar,54
no.mail.drift,no.musikk.gitar,54
no.mswindow,no.pc,54
no.multimedia,no.ef,54
no.musikk,no.irc,54
no.net,unknown,54
no.tele,no.alt.frustrasjoner,54
no.ai,no.psykologi,53
no.alt.frustrasjoner,no.mail.diverse,53
no.c,no.jus,53
no.embnet,no.jus,53
no.general,no.ai,53
no.general,no.bil,53
no.havforskning,no.general,53
no.havforskning,no.linux,53
no.irc,no.mail.diverse,53
no.lisp,no.perl,53
no.mail.diverse,no.musikk,53
