field,message_count,proportion_of_messages
X-Envelope-Sender-Is,53,9e-06
X-Program-URL,53,9e-06
X-Spam-Flag,53,9e-06
X-mhm,52,9e-06
X-test3,52,9e-06
X-Inktomi-Trace,51,9e-06
Followups-To,49,8e-06
User-AgentOS,49,8e-06
X-GeekCode,49,8e-06
X-XS4ALL-User,49,8e-06
X-PGP-ID,48,8e-06
Priority,47,8e-06
X-Drinks,47,8e-06
X-Japh,47,8e-06
X-Original-Message-ID,47,8e-06
X-Playing,47,8e-06
X-Reposted-By,47,8e-06
X-2200,46,8e-06
X-2300,46,8e-06
X-Lessen,46,8e-06
X-Luzer,46,8e-06
x-grei,45,8e-06
X-No_Archive,45,8e-06
X-Plan,45,8e-06
X-Gnus-Article-Number,44,7e-06
X-Spam-Status,44,7e-06
Original-Original-Sender,43,7e-06
X-Bajs1,43,7e-06
X-Bajs2,43,7e-06
X-Bajs3,43,7e-06
X-Bajs4,43,7e-06
X-Bajs5,43,7e-06
X-Bajs6,43,7e-06
X-Bajs7,43,7e-06
X-Newsposter,43,7e-06
X-No-Archives,43,7e-06
Notice,42,7e-06
X-BadReturnPath,42,7e-06
X-Mail2News-Errors-To,42,7e-06
version,40,7e-06
X-complaints,40,7e-06
X-Tornevall-Trace,40,7e-06
X-Tornevall-User,40,7e-06
X-My-Web-page,39,7e-06
X-Repost-Date,39,7e-06
x-anonymously-to,37,6e-06
X-Complaints-From,37,6e-06
X-Naggumism,37,6e-06
x-gnn-newsserver-posting-date,35,6e-06
X-Platform,35,6e-06
x-plug-in,35,6e-06
X-svar-til-arne-midtboe,35,6e-06
X-Corel-MessageType,34,6e-06
X-EsetId,34,6e-06
x-original-newsgroups,34,6e-06
X-Spam-Checker-Version,34,6e-06
X-User-Info,34,6e-06
bcc,33,6e-06
X-001,33,6e-06
X-002,33,6e-06
X-Credits,33,6e-06
X-Haddoc,33,6e-06
x-mail2news-user,33,6e-06
X-Posting-User,33,6e-06
X-Discordian-Date,32,5e-06
X-NNTP-Poster,32,5e-06
X-PAA-AntiVirus,32,5e-06
X-PAA-AntiVirus-Message,32,5e-06
Approved-By,31,5e-06
Pretty,31,5e-06
X-Complaint-info00,31,5e-06
X-Complaint-info01,31,5e-06
X-Complaint-info02,31,5e-06
x-girlfriend,31,5e-06
X-Reply-To,31,5e-06
X-Spam-To,31,5e-06
Administrative-Comment,30,5e-06
X-Amazons-Ring,30,5e-06
X-Best-Listserver,30,5e-06
X-Bli-Med-I-EFN,30,5e-06
X-Boktips,30,5e-06
X-Comment2,30,5e-06
X-Contact-Me-Info,30,5e-06
X-en-Buddhism,30,5e-06
X-ena,30,5e-06
X-Favourite-blended,30,5e-06
X-Favourite-Malt,30,5e-06
X-For-Media,30,5e-06
X-Grrl,30,5e-06
X-Image-Url,30,5e-06
X-My-Lists,30,5e-06
X-NewsOnePostAddr,30,5e-06
X-NewsOnePostHost,30,5e-06
X-Path-Stamp,30,5e-06
X-PNG,30,5e-06
X-Post-Objectivism,30,5e-06
X-Poster,30,5e-06
X-Pure-Evil-Technology-version(PET),30,5e-06
FollowupTo,29,5e-06
X-Comment1,29,5e-06
X-Comment3,29,5e-06
X-Comment4,29,5e-06
X-Comment5,29,5e-06
X-Forvirret,29,5e-06
X-Gnus-Delayed,29,5e-06
X-Ja,29,5e-06
X-Nei,29,5e-06
X-Original-X-Trace,29,5e-06
X-Registered-To,29,5e-06
X-troll,29,5e-06
Archive,28,5e-06
X-Bobcode,28,5e-06
X-Client-NNTP-Posting-Host,28,5e-06
X-DF-Seen-By,28,5e-06
X-No-Yes,28,5e-06
Organisation,27,5e-06
X-Abuse-info-00,27,5e-06
X-Abuse-info-01,27,5e-06
X-Abuse-info-02,27,5e-06
X-Abuse-info-03,27,5e-06
X-BonusFrust,27,5e-06
X-Complaint-to,27,5e-06
X-cuse-me-I-am-so-sorry,27,5e-06
X-Food-For-Flipper,27,5e-06
X-hidden-message,27,5e-06
X-perimental-line,27,5e-06
X-Server-Website,27,5e-06
X-tra-line-for-you-to-look-at,27,5e-06
X-tra-line-just-to-waste-space,27,5e-06
X-Cascade6,26,4e-06
X-MailKey,26,4e-06
X-MailScanner-SpamCheck,26,4e-06
X-Moderation-Mailpath,26,4e-06
X-tracy,26,4e-06
X-UID,26,4e-06
X-X-Cascade5,26,4e-06
X-X-X-Cascade4,26,4e-06
X-X-X-X-Cascade3,26,4e-06
X-X-X-X-X-Cascade2,26,4e-06
X-X-X-X-X-X-Cascade1,26,4e-06
X-dust,25,4e-06
X-Original-X-Complaints-To,25,4e-06
X-Pure-Evil-Technology-(PET)-version,25,4e-06
X-remailer,25,4e-06
X-Validate-Post,25,4e-06
X-Double-Happiness,24,4e-06
X-Fnord,24,4e-06
X-Lyric,24,4e-06
X-Meow1,24,4e-06
X-Meow2,24,4e-06
X-Meow3,24,4e-06
XPident,24,4e-06
X-Automatic-Bocce-Generator,23,4e-06
X-Declude-Sender,23,4e-06
X-Declude-Spoolname,23,4e-06
X-Fortune-Cookie,23,4e-06
X-PGP-Available,23,4e-06
X-PGP-Server,23,4e-06
X-Post-Facto,23,4e-06
X-Staff-Parking-Only,23,4e-06
X-Top-Posting,23,4e-06
X-Approved,22,4e-06
X-In-Love,22,4e-06
X-Plugin-version,22,4e-06
X-website,22,4e-06
X,21,4e-06
x-newssoftware,21,4e-06
X-Nuke-France,21,4e-06
x-pipegcos,21,4e-06
x-pipehub,21,4e-06
x-pipeuser,21,4e-06
X-Sender-Verify-Failed,21,4e-06
http,20,3e-06
X-A-Notice,20,3e-06
X-Favorite-LART,20,3e-06
X-Karl-Malden,20,3e-06
X-Plugin-Copyright,20,3e-06
Comment,19,3e-06
X-Beverage,19,3e-06
x-geek,19,3e-06
X-Hates,19,3e-06
X-Host-os,19,3e-06
X-ICQ-UIN,19,3e-06
X-IRC-Identity,19,3e-06
X-Japanese-Elvis-1,19,3e-06
X-Japanese-Elvis-2,19,3e-06
X-Japanese-Elvis-3,19,3e-06
X-Japanese-Elvis-4,19,3e-06
X-More-About-Spam,19,3e-06
X-Received-On,19,3e-06
X-spamtrap,19,3e-06
X-Tommy-Cooper-1,19,3e-06
X-Tommy-Cooper-2,19,3e-06
X-Tommy-Cooper-3,19,3e-06
X-Tommy-Cooper-4,19,3e-06
X-X-X,19,3e-06
Conten-Transfer-Encoding,18,3e-06
SnewsLanguage,18,3e-06
X-HTTP-Authicated-sender,18,3e-06
X-Mentor,18,3e-06
X-Netcop,18,3e-06
X-Old-NNTP-Posting-Host,18,3e-06
X-Plonked-For-Life,18,3e-06
X-Rating,18,3e-06
X-Really-Long-Headers,18,3e-06
x-reklame,18,3e-06
X-Sponsor-me,18,3e-06
X-Tommy-Cooper-5,18,3e-06
X-Tommy-Cooper-6,18,3e-06
X-Tommy-Cooper-7,18,3e-06
X-Tommy-Cooper-8,18,3e-06
Alt-Injection-Info,17,3e-06
Usenet-Posting-Host,17,3e-06
X-Abuse-report-To,17,3e-06
X-Admin-Comment,17,3e-06
X-Advertisement,17,3e-06
X-Poem,17,3e-06
X-Return-Path,17,3e-06
X-Tea,17,3e-06
X-UiO-Scanned,17,3e-06
X-UiO-SPAM-Test,17,3e-06
X-Will-Anyone-Ever-See-This,17,3e-06
X-WWW-Home,17,3e-06
X-X,17,3e-06
X.Abuse,17,3e-06
X-Abuse-goto,16,3e-06
X-Anon,16,3e-06
X-By-the-way,16,3e-06
X-Dog-Kicker,16,3e-06
X-Ex-NA-Number,16,3e-06
X-Ex-Newsangel,16,3e-06
X-game-of-the-century,16,3e-06
X-game-of-the-decade,16,3e-06
X-Ignore,16,3e-06
X-Loop,16,3e-06
X-My-Site,16,3e-06
X-NRC-Trace,16,3e-06
X-PureEvilTechnology(PET)-Version,16,3e-06
X-Rated,16,3e-06
X-ROU,16,3e-06
X-Shakespeare,16,3e-06
X-TWRN-Tag,16,3e-06
X-UiO-Spam-score,16,3e-06
X-Waste-of-bandwidth,16,3e-06
Content-Base,15,3e-06
Inner-Circle,15,3e-06
X-Battery,15,3e-06
X-Country,15,3e-06
X-Idol-1,15,3e-06
X-Idol-2,15,3e-06
X-PGP-Sig,15,3e-06
X-Spammers,15,3e-06
X-Sparring,15,3e-06
X-Url-2,15,3e-06
Bananas,14,2e-06
X-Complain-to,14,2e-06
X-Example,14,2e-06
X-Flame,14,2e-06
X-Flonk,14,2e-06
X-Gnus-Agent-Gcc,14,2e-06
X-Header1,14,2e-06
X-Invalid,14,2e-06
X-New-Trend,14,2e-06
X-No-Asshole,14,2e-06
X-UDPs,14,2e-06
X-WhoAmI,14,2e-06
xnewsreader,14,2e-06
Generation,13,2e-06
Name,13,2e-06
X-a,13,2e-06
X-b,13,2e-06
X-Backup-URL,13,2e-06
X-c,13,2e-06
X-Confirm-Delivery,13,2e-06
X-Confirm-Reading,13,2e-06
X-d,13,2e-06
X-e,13,2e-06
X-Fuck-You,13,2e-06
X-Fuckheads,13,2e-06
X-Header-Artist,13,2e-06
X-Long-Live-The-Cabal,13,2e-06
X-my-box,13,2e-06
X-NNTP-Posting-Date,13,2e-06
X-Please-Crosspost-To,13,2e-06
X-Shitty-Part-Of-Sweden,13,2e-06
Copyright,12,2e-06
Old-NNTP-Posting-Host,12,2e-06
X-Android-OS-Version,12,2e-06
x-broken-date,12,2e-06
x-files2,12,2e-06
X-Get-A-Real-Newsreader,12,2e-06
X-ISP,12,2e-06
X-message-pipe,12,2e-06
X-Original-NNTP-Posting-Date,12,2e-06
X-OS-running,12,2e-06
X-Philosophical-Problem,12,2e-06
X-Phone-Model,12,2e-06
X-Snuhbirds,12,2e-06
X-tra-line-for-your-annoyance,12,2e-06
X-WAR,12,2e-06
Precedence,11,2e-06
X-Address-Info,11,2e-06
x-attention-nsa,11,2e-06
X-Biscuit,11,2e-06
X-Complaints-Italiano,11,2e-06
X-Complaints-Language,11,2e-06
X-Copies-To,11,2e-06
X-DoD#,11,2e-06
X-Evil,11,2e-06
X-Fontfamily,11,2e-06
X-Fontsize,11,2e-06
X-Funny,11,2e-06
X-MailScanner-SpamScore,11,2e-06
X-Meow-Meow,11,2e-06
X-Newsgroups,11,2e-06
X-NOTrace,11,2e-06
X-Nuke,11,2e-06
X-Organization-Notice,11,2e-06
X-Original-Organization,11,2e-06
x-personality,11,2e-06
X-PGP-Key-ID,11,2e-06
X-TGIF,11,2e-06
X-True-Fact,11,2e-06
X-Works-For-Organization,11,2e-06
Xyzzy,11,2e-06
DKIM-Signature,10,2e-06
Original-References,10,2e-06
Reply-to-news-by-email,10,2e-06
X-3,10,2e-06
X-ATTENTION,10,2e-06
x-attention-senator-exon,10,2e-06
X-desktop-distribution,10,2e-06
x-easynet-cherry,10,2e-06
x-given-sender,10,2e-06
X-GN-Metadata,10,2e-06
X-Il-Duce,10,2e-06
X-linux,10,2e-06
X-local-trace,10,2e-06
X-MCC,10,2e-06
X-Operating-System,10,2e-06
x-paranoia,10,2e-06
X-RIP,10,2e-06
X-ser_du_denne_da,10,2e-06
X-server-distribution,10,2e-06
x-spam,10,2e-06
X-User-Real-E-Mail,10,2e-06
X-Useragent,10,2e-06
X-X-RFC2646,10,2e-06
X-Xxdate,10,2e-06
Gnus-Convert-Png-To-Face,9,2e-06
ICQ-UIN,9,2e-06
X-Base,9,2e-06
X-dimme,9,2e-06
x-followup-to,9,2e-06
X-Header-Warning,9,2e-06
X-Hint,9,2e-06
X-Love,9,2e-06
X-MDaemon-Deliver-To,9,2e-06
X-Olive-Loaf,9,2e-06
X-Piss-Off-Stan,9,2e-06
X-season,9,2e-06
X-Slogan,9,2e-06
X-Spam-Processed,9,2e-06
X-Unparseable-Date,9,2e-06
X-Who-Gives-A-Fuck,9,2e-06
Content-Description,8,1e-06
Delivered-To,8,1e-06
Message,8,1e-06
X-4,8,1e-06
X-Adore,8,1e-06
X-Alien-Vampire,8,1e-06
X-Alliance,8,1e-06
X-Alpha-test,8,1e-06
X-Anty,8,1e-06
X-Bagde,8,1e-06
X-Deanship,8,1e-06
X-DejaID,8,1e-06
X-Fake-Validate,8,1e-06
X-Font,8,1e-06
X-Free,8,1e-06
X-Gates,8,1e-06
X-Ignore-Mac,8,1e-06
X-KotAGoR,8,1e-06
X-Lamers,8,1e-06
X-Loves,8,1e-06
X-Lucky-Strike,8,1e-06
X-Mantra,8,1e-06
X-Meow-Cabal,8,1e-06
X-Path,8,1e-06
X-perv-perv,8,1e-06
X-perv-perv-perv,8,1e-06
X-perv-perv-perv-perv,8,1e-06
X-perv-perv-perv-perv-perv,8,1e-06
X-perv-perv-perv-perv-perv-perv,8,1e-06
X-perv-perv-perv-perv-perv-perv-perv,8,1e-06
X-perv-perv-perv-perv-perv-perv-perv-perv,8,1e-06
X-Planation-of-mantra,8,1e-06
X-Really-Big-Headers,8,1e-06
X-SpeedUI,8,1e-06
X-TIAC,8,1e-06
X-Troll-Note,8,1e-06
X-TV-Yes,8,1e-06
X-Vulis,8,1e-06
X-Were,8,1e-06
X-Your-Momma,8,1e-06
errors-to,7,1e-06
Filter-NNTP-Posting-Host,7,1e-06
Filter-X-Trace,7,1e-06
