from_newsgroup,to_newsgroup,number_of_references
no.kjemi,no.multimedia,971
no.tele,unknown,970
no.audio,no.hobby.diverse,967
no.mac,unknown,967
no.multimedia,no.alt.diskusjoner,965
no.multimedia,no.musikk,965
no.alt.tegneserier,no.general,963
no.multimedia,no.marked.jobb,963
no.media,no.multimedia,959
no.multimedia,no.mail.diverse,958
no.vit.diverse,no.kjemi,958
no.alt.diskusjoner,no.multimedia,956
no.lisp,no.general,956
no.hobby.diverse,no.multimedia,955
no.embnet,no.havforskning,954
no.marked.jobb,no.multimedia,954
no.multimedia,no.media,954
no.alt.frustrasjoner,no.news.diverse,953
no.religion,no.news.diverse,953
no.multimedia,no.mail.drift,949
no.general,no.biz.nettilbydere,945
no.pc,no.biz.annonser.data,945
no.ef,no.havforskning,944
no.c,no.havforskning,943
no.mac,no.bil,943
no.net,no.linux,943
no.org.efn.diskusjon,no.irc,939
no.multimedia,no.kjemi,937
no.embnet,no.film,930
no.alt.diskusjoner,no.litteratur,928
no.ms-windows,no.multimedia,927
no.alt.diskusjoner,no.pc,926
no.linux,no.net,925
no.c,no.film,924
no.ef,no.film,920
no.havforskning,no.embnet,919
no.embnet,no.irc,918
no.elektronikk,unknown,914
no.havforskning,no.c,914
no.film,no.radio-tv,913
no.multimedia,no.ms-windows,913
no.c,no.irc,912
no.havforskning,no.ef,912
no.prat.narkotika,no.www,912
no.audio,no.alt.diskusjoner,911
no.alt.diskusjoner,no.hobby.diverse,909
no.ef,no.irc,908
no.amiga,no.general,907
no.religion,no.psykologi,907
no.general,no.psykologi,906
no.mail.drift,no.marked.jobb,906
no.mail.diverse,no.marked.jobb,905
no.general,no.radio_tv,904
no.film,no.alt.tegneserier,903
no.bil,no.bibsys,902
no.irc,no.havforskning,901
no.radio-tv,no.film,901
no.marked.jobb,no.mac,900
no.alt.diskusjoner,no.sykkel,898
no.pc,no.net,897
no.havforskning,no.irc,896
no.norsk,no.jus,893
no.prat.politikk,no.news.diverse,892
no.irc,no.film,890
no.film,no.c,889
no.film,no.embnet,889
no.bil,no.film,888
no.irc,no.c,887
no.linux,no.marked.jobb,887
no.irc,no.embnet,886
no.film,no.irc,884
no.film,no.bil,883
no.alt.gledesutbrudd,no.religion,882
no.havforskning,no.film,882
no.psykologi,no.vit.diverse,882
no.film,no.ef,880
no.irc,no.ef,879
no.c,no.bibsys,878
no.film,no.havforskning,878
no.general,no.biz.annonser.data,877
no.film,no.video,876
no.bibsys,no.bil,875
no.film,no.bibsys,875
no.ef,no.bibsys,874
no.irc,no.bibsys,874
no.kjemi,no.marked.jobb,873
no.marked.jobb,no.mail.diverse,873
no.musikk,no.musikk.gitar,872
no.embnet,no.bibsys,869
no.litteratur,no.marked.jobb,869
no.elektronikk,no.audio,867
no.alt.frustrasjoner,no.alt.flame,866
no.bibsys,no.c,866
no.havforskning,no.bibsys,866
no.prat.seksualitet,no.alt.gledesutbrudd,866
no.alt.frustrasjoner,no.radio-tv,865
no.marked.jobb,no.linux,865
no.bibsys,no.ef,861
no.bil,no.c,861
no.bil,no.mac,860
no.general,no.mac,860
no.marked.jobb,no.litteratur,860
no.bibsys,no.embnet,859
no.bibsys,no.film,859
no.marked.jobb,no.mail.drift,858
no.bibsys,no.irc,855
no.bibsys,no.havforskning,853
no.video,no.film,853
no.alt.diskusjoner,no.audio,851
no.bil,no.ef,849
no.biz.nettilbydere,no.biz.annonser,849
no.alt.frustrasjoner,no.marked,848
no.marked.jobb,no.kjemi,848
no.bil,no.embnet,847
no.stortinget,no.prat.narkotika,847
no.bil,no.irc,843
no.audio,no.marked.data,842
no.c,no.bil,839
no.bil,no.havforskning,834
no.elektronikk,no.multimedia,833
no.general,no.sport.diverse,832
no.net,no.mail.diverse,832
no.ef,no.bil,829
no.alt.flame,no.spill,827
no.video,no.audio,827
no.spill.rollespill,unknown,826
no.biz.annonser,no.biz.nettilbydere,825
no.embnet,no.bil,824
no.general,no.spill,823
no.hobby.diverse,no.audio,823
no.irc,no.bil,822
no.vitser,no.alt.frustrasjoner,821
no.general,no.bil,820
no.general,no.elektronikk,819
no.general,no.sykkel,815
no.vit.diverse,no.alt.diskusjoner,813
no.prat.narkotika,unknown,812
no.marked,no.www,809
no.sykkel,no.alt.diskusjoner,809
no.tele,no.biz.nettilbydere,808
no.havforskning,no.bil,806
no.mac,no.news.diverse,806
no.general,no.mail.drift,802
no.www,no.alt.diskusjoner,801
no.vit.diverse,unknown,793
no.mail.diverse,no.net,786
no.pc,no.alt.diskusjoner,786
no.marked.data,no.mac,785
no.marked,no.alt.diskusjoner,777
no.alt.diskusjoner,no.vitser,773
no.news.diverse,unknown,773
no.alt.diskusjoner,no.alt.flame,772
no.norsk,no.alt.diskusjoner,772
no.general,no.prat.seksualitet,769
no.jus,no.marked,769
no.musikk,no.marked.data,769
no.jus,no.musikk,762
no.general,no.alt.sjokolade,757
no.linux,no.general,756
no.audio,no.video,751
no.marked.data,no.musikk,748
no.alt.diskusjoner,no.elektronikk,747
no.general,no.bibsys,747
no.spill.sjakk,unknown,747
no.vitser,no.pc,745
no.marked,no.medisin,744
no.kjemi,no.skole.diverse,742
no.news.diverse,no.news.drift,742
no.media,no.marked,739
no.news.diverse,no.marked,739
no.spill,no.general,738
no.alt.frustrasjoner,no.jus,733
no.general,no.lisp,733
