from_newsgroup,to_newsgroup,number_of_references
no.multimedia,no.general,592
no.biz.nettilbydere,no.biz.diskusjoner,588
no.www,no.ms-windows,587
no.alt.katter,no.general,583
no.www,no.net,579
no.skole.diverse,no.litteratur,577
no.elektronikk,no.www,576
no.slekt.programmer,unknown,570
no.skole.diverse,no.vit.diverse,568
no.audio,no.musikk,567
no.general,no.psykologi,567
no.general,no.student.samfund,567
no.multimedia,no.marked.data,567
no.biz.diskusjoner,no.biz.annonser.data,565
no.marked,no.www,565
no.mail.diverse,unknown,564
no.net,no.general,561
no.alkohol,no.stortinget,557
no.marked,no.audio,557
no.biz.annonser.data,no.biz.diskusjoner,555
no.skole.diverse,no.medisin,555
no.skole.diverse,no.alt.diskusjoner,554
no.skole.diverse,no.kjemi,553
no.alt.diskusjoner,no.vitser,551
no.audio,no.marked,551
no.stortinget,no.alkohol,550
no.stortinget,no.prat.narkotika,550
no.alt.diskusjoner,no.pc,545
no.alt.diskusjoner,no.sykkel,545
no.film,no.general,545
no.marked.data,no.multimedia,545
no.general,no.spill,543
no.vitser,no.www,542
no.pc,no.biz.annonser.data,541
no.sport.diverse,no.general,536
no.unix,no.pc,536
no.psykologi,no.general,535
no.sykkel,no.alt.diskusjoner,534
no.elektronikk,no.bil,530
no.kjemi,no.litteratur,530
no.alt.flame,no.spill,528
no.biz.annonser.data,unknown,526
no.mac,no.bil,526
no.video,no.audio,524
no.net,no.www,521
no.vitser,no.pc,519
no.alt.diskusjoner,no.elektronikk,518
no.hobby.diverse,no.alt.diskusjoner,518
no.www,no.marked.data,516
no.alt.flame,no.pc,514
no.norsk,no.alt.diskusjoner,514
no.biz.nettilbydere,no.marked,513
no.audio,no.video,512
no.folklore.overtro,no.general,510
no.media,unknown,510
no.www,no.alkohol,510
no.alt.flame,no.prat.politikk,509
no.biz.annonser.data,no.pc,509
no.musikk.gitar,no.musikk,509
no.vit.diverse,no.litteratur,509
no.hobby.diverse,unknown,506
no.alt.config,unknown,504
no.ms-windows,no.www,504
no.spill,no.general,504
no.marked,no.alt.diskusjoner,496
no.prat.seksualitet,no.alt.diskusjoner,493
no.perl,unknown,492
no.film,no.audio,491
no.vit.diverse,no.folklore.overtro,491
no.hobby.diverse,no.marked,490
no.slekt.etterlysning,unknown,487
no.religion,no.news.diverse,486
no.audio,no.general,485
no.general,no.unix,483
no.prat.seksualitet,no.general,483
no.biz.diskusjoner,no.biz.annonser,481
no.general,no.uninett.skole,480
no.slekt.programmer,no.slekt,480
no.prat.politikk,no.student.samfund,478
no.www,no.pressemeldinger,477
no.vitser,no.prat.seksualitet,474
no.multimedia,unknown,470
no.biz.annonser,no.bil,466
no.alt.pompel-og-pilt,no.alt.sjokolade,465
no.it.emacs,unknown,464
no.student.samfund,no.prat.politikk,464
no.biz.annonser,no.biz.diskusjoner,463
no.alt.pompel-og-pilt,no.alt.radio-tv.irma-1000,462
no.alt.pompel-og-pilt,no.alt.tegneserier,462
no.alt.pompel-og-pilt,no.audio,462
no.pc,no.alt.diskusjoner,461
