from_newsgroup,to_newsgroup,number_of_references
no.marked,no.prat.seksualitet,51
no.media,no.hobby.diverse,51
no.net,no.linux,51
no.norsk,no.litteratur,51
no.norsk,no.news.diverse,51
no.norsk,no.radio-tv,51
no.radio-tv,no.alt.god.jul,51
no.alt.diskusjoner,no.multimedia,50
no.alt.pompel-og-pilt,no.audio,50
no.elektronikk,no.vitser,50
no.linux,no.net,50
no.marked,no.amiga,50
no.net,no.mail.diverse,50
no.norsk,no.stortinget,50
no.prat.politikk,no.student.samfund,50
no.slekt.etterlysning,no.slekt,50
no.alt.diskusjoner,no.audio,49
no.alt.diskusjoner,no.medisin,49
no.alt.flame,no.prat.politikk,49
no.audio,no.alt.diskusjoner,49
no.audio,no.media,49
no.elektronikk,no.prat.seksualitet,49
no.general,no.vitser,49
no.jus,no.pc,49
no.marked.data,no.audio,49
no.multimedia,no.alt.diskusjoner,49
no.prat.seksualitet,no.pc,49
no.student.samfund,no.prat.politikk,49
no.tele,no.marked,49
no.vitser,no.elektronikk,49
no.alt.irc-treff,unknown,48
no.alt.radio-tv.irma-1000,no.alt.pompel-og-pilt,48
no.alt.radio-tv.irma-1000,no.alt.sjokolade,48
no.alt.radio-tv.irma-1000,no.alt.tegneserier,48
no.alt.sjokolade,no.alt.pompel-og-pilt,48
no.alt.sjokolade,no.alt.radio-tv.irma-1000,48
no.alt.tegneserier,no.alt.pompel-og-pilt,48
no.alt.tegneserier,no.alt.radio-tv.irma-1000,48
no.mac,no.www,48
no.musikk,no.musikk.klassisk,48
no.musikk.klassisk,unknown,48
no.news.diverse,no.slekt,48
no.prat.seksualitet,no.www,48
no.student.samfund,no.general,48
no.alkohol,no.stortinget,47
no.alt.diskusjoner,no.alt.arkiv,47
no.alt.tegneserier,no.film,47
no.biz.annonser,no.biz.diskusjoner,47
no.film,no.alt.gledesutbrudd,47
no.general,no.alt.sjokolade,47
no.prat.seksualitet,no.prat.politikk,47
no.skole.diverse,no.litteratur,47
no.video,no.marked,47
no.www,no.mac,47
no.alt.radio-tv.irma-1000,no.audio,46
no.alt.sjokolade,no.audio,46
no.alt.tegneserier,no.audio,46
no.audio,no.alt.pompel-og-pilt,46
no.audio,no.alt.radio-tv.irma-1000,46
no.audio,no.alt.sjokolade,46
no.audio,no.alt.tegneserier,46
no.kryptografi,no.general,46
no.marked,no.video,46
no.news.drift,no.general,46
no.prat.seksualitet,no.elektronikk,46
no.prat.seksualitet,no.marked,46
no.skole.diverse,no.uninett.skole,46
no.sport.diverse,no.news.diverse,46
no.sport.volleyball,unknown,46
no.stortinget,no.alkohol,46
no.stortinget,no.prat.narkotika,46
no.alt.config,no.alt.diskusjoner,45
no.alt.gledesutbrudd,no.musikk,45
no.alt.pompel-og-pilt,no.bibsys,45
no.alt.sjokolade,no.bil,45
no.alt.tegneserier,no.bil,45
no.amiga,no.media,45
no.audio,no.bibsys,45
no.bibsys,no.audio,45
no.bil,no.alt.sjokolade,45
no.bil,no.alt.tegneserier,45
no.film,no.alt.tegneserier,45
no.general,no.biz.diskusjoner,45
no.general,no.elektronikk,45
no.mail.drift,unknown,45
no.marked,no.mac,45
no.marked.diskusjon,unknown,45
no.www,no.marked.jobb,45
no.x,unknown,45
no.alt.pompel-og-pilt,no.alt.god.jul,44
no.amiga,no.hobby.diverse,44
no.audio,no.marked.data,44
no.bil,no.bolig,44
no.biz.annonser,no.bolig,44
no.bolig,no.biz.annonser,44
no.hobby.diverse,no.media,44
no.jus,no.prat.seksualitet,44
no.jus,no.student.samfund,44
no.lisp,no.perl,44
no.mac,no.marked,44
no.mac,no.ms-windows,44
no.marked.data,no.marked.jobb,44
no.media,no.amiga,44
no.ms-windows,no.net,44
no.multimedia,no.musikk,44
no.net,no.ms-windows,44
no.prat.politikk,no.prat.seksualitet,44
no.uninett.skole,no.skole.diverse,44
no.alkohol,no.alt.arkiv,43
no.alt.gledesutbrudd,no.film,43
no.alt.mat,no.alt.mat.drikke,43
no.alt.pompel-og-pilt,no.bil,43
no.bolig,no.bil,43
no.elektronikk,no.tele,43
no.general,no.bibsys,43
no.it.diverse,no.marked.data,43
no.it.diverse,no.www,43
no.litteratur,no.norsk,43
no.marked.diskusjon,no.marked,43
no.marked.jobb,no.marked.data,43
no.ms-windows,no.mac,43
no.slekt,no.news.diverse,43
no.student.samfund,no.jus,43
no.alt.arkiv,no.alt.diskusjoner,42
no.alt.config,no.alt.arkiv,42
no.alt.flame,no.alt.config,42
no.alt.pompel-og-pilt,unknown,42
no.bil,no.general,42
no.biz.annonser.data,no.ms-windows,42
no.general,no.alt.pompel-og-pilt,42
no.general,no.kryptografi,42
no.jus,no.www,42
no.mac,no.bil,42
no.news.diverse,no.alt.config,42
no.alt.god.jul,no.alt.pompel-og-pilt,41
no.alt.god.jul,no.alt.radio-tv.irma-1000,41
no.alt.god.jul,no.alt.sjokolade,41
no.alt.god.jul,no.alt.tegneserier,41
no.alt.god.jul,no.bibsys,41
no.alt.god.jul,no.bil,41
no.alt.god.jul,no.radio-tv,41
no.alt.mat,no.alt.diskusjoner,41
no.alt.radio-tv.irma-1000,no.bibsys,41
no.alt.sjokolade,no.bibsys,41
no.alt.tegneserier,no.bibsys,41
no.bibsys,no.alt.pompel-og-pilt,41
no.bibsys,no.alt.radio-tv.irma-1000,41
no.bibsys,no.alt.sjokolade,41
no.bibsys,no.alt.tegneserier,41
no.hobby.diverse,no.amiga,41
no.litteratur,no.alt.diskusjoner,41
no.litteratur,no.skole.diverse,41
no.mail.diverse,no.news.diverse,41
no.mail.drift,no.mail.diverse,41
no.ms-windows,no.biz.annonser.data,41
no.musikk,no.hobby.diverse,41
no.news.diverse,no.musikk,41
no.news.diverse,no.norsk,41
no.news.diverse,no.pc,41
no.norsk,no.pc,41
no.norsk,no.religion,41
no.spill,no.multimedia,41
no.tele,no.net,41
no.alt.arkiv,no.alkohol,40
no.alt.arkiv,no.alt.config,40
no.alt.config,no.news.diverse,40
no.alt.god.jul,no.audio,40
no.alt.radio-tv.irma-1000,no.alt.god.jul,40
no.alt.radio-tv.irma-1000,no.bil,40
no.alt.sjokolade,no.alt.god.jul,40
no.alt.tegneserier,no.alt.god.jul,40
no.bibsys,no.alt.god.jul,40
no.bil,no.alt.god.jul,40
no.bil,no.alt.pompel-og-pilt,40
no.bil,no.alt.radio-tv.irma-1000,40
no.it.emacs,no.general,40
no.lisp,no.general,40
no.mail.diverse,no.mail.drift,40
no.multimedia,no.spill,40
no.musikk,no.radio-tv,40
no.pc,no.news.diverse,40
no.religion,no.news.diverse,40
no.alkohol,no.ai,39
no.alt.diskusjoner,no.ai,39
no.audio,no.alt.god.jul,39
no.elektronikk,no.general,39
no.general,no.bolig,39
no.jus,no.musikk,39
no.marked,no.film,39
no.marked.data,no.marked.diskusjon,39
no.norsk,no.marked,39
no.vit.diverse,no.skole.diverse,39
no.alt.flame,no.prat.seksualitet,38
no.alt.god.jul,no.alt.flame,38
no.bil,no.biz.diskusjoner,38
no.biz.diskusjoner,no.bil,38
no.film,no.marked,38
