newsgroup,message_id_hash,replacement_char_count,nb_body_length,matched_similarity,shuffled_similarity
no.alt.arkiv,e77b4ec59183a742,2,709,0.9954167849852504,0.6580671491563215
no.alt.arkiv,e8112e327306af1a,2,625,0.9944287033005659,0.6298635711486056
no.alt.arkiv,f3132fd6c1ec631a,2,730,0.995921537913535,0.6665575315828741
no.alt.arkiv,f3d86e3861508c8e,2,1132,0.9915304492936192,0.6730656308743721
no.alt.arkiv,f8f263f7507097c0,2,2979,0.9938755746541111,0.6923101133834427
no.alt.arkiv,f96dab251d04b617,2,2087,0.994356077422984,0.717013413218212
no.alt.arkiv,fbd1fad6b76a370e,2,522,0.9937708475962408,0.6149254726048385
no.alt.arkiv,fc91f18491baee56,2,946,0.9947089322463124,0.6770726094974308
no.alt.config,051bfa92a01a12be,4,112,0.9768594359959046,0.71786865226921
no.alt.config,0b1abddc496e0486,5,338,0.970514664450947,0.7157899856017801
no.alt.config,0ca1751bf9bffb27,2,75,0.9876041932412429,0.6108114291848541
no.alt.config,2120492f88e2a99a,6,280,0.9680328669478737,0.7317849624032262
no.alt.config,294fef60a6784e99,5,416,0.9816653451228919,0.6591563851337678
no.alt.config,2d442280836f3221,6,564,0.9905106415654574,0.6487221464032353
no.alt.config,32ef962bafa61421,5,379,0.9856617729793776,0.5738957308212644
no.alt.config,340c0d57fa28bfd9,3,230,0.9880512663869704,0.6246262504736382
no.alt.config,3b65fa195ecc9e81,8,618,0.9873763702737908,0.610134768493733
no.alt.config,40855fe007a6c498,5,601,0.9836445196631709,0.7654773865533995
no.alt.config,46b8563fe010be48,15,471,0.9617733706138473,0.6782438696094601
no.alt.config,49cf931c6b07c50a,1,268,0.9955895112525249,0.6322900539930731
no.alt.config,4a0e4bddd3b2524b,1,181,0.9882396448696174,0.769429054181779
no.alt.config,4c9db227f09decb8,4,305,0.9886975113853089,0.5934818769040417
no.alt.config,5127a9ca772df464,5,460,0.9915703968857159,0.6955379976134535
no.alt.config,553a366ccc94a490,17,1384,0.9827573372348526,0.5554965897334925
no.alt.config,612c9350f7752173,2,465,0.9946726928071957,0.6330170462926039
no.alt.config,65254cc6cf4438be,10,924,0.98583817212505,0.7055318090205744
no.alt.config,6683448395261ca6,5,470,0.9948187807861141,0.6349714489843162
no.alt.config,68a8e813215d152e,5,812,0.9951000688408024,0.6479082562287951
no.alt.config,6921cd274b2f0196,11,566,0.9804276300802534,0.7304493397973836
no.alt.config,6ae594d53eddc3d8,32,1085,0.9712162106017828,0.6354215636619694
no.alt.config,a791ef942d5a4ec2,3,642,0.9948313755231768,0.7061739801044334
no.alt.config,aeaa4ce1a53c7816,16,1010,0.9836337340205856,0.49976785817693986
no.alt.config,b3be9072e6c16ee2,5,1011,0.9896089975803365,0.6465007686776895
no.alt.config,bb359defa41e4f01,2,350,0.9948046446963156,0.6813936120147239
